#{"t_start": 1541001687.0713682, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,224,6.712315
2.0,225,11.624647
3.0,250,17.367145
3.0,252,23.073541
1.0,157,26.648871
0.0,127,29.371574
0.0,129,32.080891
1.0,155,35.534894
2.0,198,40.164623
1.0,176,43.958544
3.0,248,49.346238
0.0,125,52.11812
0.0,125,54.726624
1.0,168,58.464399
1.0,175,62.486818
2.0,200,66.970443
1.0,157,70.430905
3.0,252,76.378644
0.0,127,79.054899
1.0,175,82.751157
3.0,228,88.12837
3.0,274,94.358018
0.0,129,97.002362
3.0,228,102.329011
0.0,125,105.047702
1.0,175,108.915633
3.0,250,114.871852
5.0,329,122.462197
1.0,157,126.093505
3.0,212,130.845114
1.0,173,134.609648
2.0,198,139.361416
1.0,157,142.75232
0.0,129,145.599092
3.0,276,152.038724
1.0,155,155.590724
0.0,125,158.368689
0.0,129,161.193028
0.0,129,163.935987
0.0,127,166.53224
2.0,201,170.907876
1.0,155,174.613276
0.0,127,177.221002
1.0,157,180.504084
2.0,220,185.703392
1.0,173,189.484632
1.0,176,193.320411
10.0,429,203.311502
0.0,127,206.009678
0.0,127,208.811595
0.0,125,211.438257
0.0,127,214.239334
0.0,127,216.93347
0.0,127,219.592027
1.0,175,223.519691
0.0,127,226.150054
2.0,185,230.289778
1.0,157,233.882618
0.0,127,236.670732
1.0,155,240.014056
2.0,198,244.617653
0.0,125,247.2427
0.0,129,250.124568
2.0,200,254.507118
2.0,224,259.731434
2.0,227,264.847861
0.0,123,267.501196
1.0,157,271.042876
4.0,319,278.243992
0.0,129,281.248753
1.0,173,285.067977
1.0,172,288.836686
2.0,203,293.488358
0.0,125,295.976219
0.0,129,298.712354
0.0,127,301.522875
0.0,127,304.235224
2.0,200,308.906914
0.0,127,311.493986
6.0,396,320.535565
0.0,129,323.307565
0.0,125,325.874789
1.0,155,329.409448
0.0,127,332.082183
1.0,173,335.745099
0.0,129,338.452523
8.0,378,347.180056
0.0,127,349.831083
0.0,129,352.771889
2.0,200,357.030509
4.0,301,363.997883
3.0,270,370.207421
2.0,200,374.604714
2.0,202,379.226586
0.0,129,381.850431
2.0,202,386.231303
2.0,205,390.667138
