#{"t_start": 1541001687.0158882, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,4.641244
0.0,125,7.14051
0.0,127,9.796657
0.0,127,12.434301
0.0,123,15.171792
4.0,279,21.458607
1.0,155,24.806666
2.0,200,29.461486
0.0,127,32.136367
2.0,222,37.218669
3.0,270,43.469188
2.0,220,48.251208
0.0,129,51.050067
1.0,155,54.391707
2.0,206,59.045675
2.0,223,64.165719
1.0,155,67.616582
3.0,233,72.803815
3.0,249,78.743467
1.0,159,82.059234
1.0,156,85.441022
0.0,125,88.401865
0.0,129,91.145005
1.0,171,94.899349
3.0,228,100.151314
0.0,127,102.799031
1.0,174,106.684585
0.0,129,109.516854
1.0,157,113.208643
4.0,287,119.69259
0.0,129,122.514723
0.0,127,125.411342
0.0,129,128.337393
2.0,224,133.188092
1.0,174,137.279387
0.0,125,139.983671
2.0,201,144.494183
0.0,129,147.586259
7.0,428,157.596686
2.0,226,162.839974
1.0,178,166.666143
1.0,155,169.961058
1.0,155,173.620241
2.0,200,177.865069
0.0,129,180.603975
0.0,127,183.348072
0.0,127,186.363716
2.0,224,191.197969
0.0,127,193.857647
0.0,127,196.735433
1.0,155,200.094088
0.0,129,202.819661
0.0,129,205.547014
3.0,250,211.250669
3.0,270,217.459687
3.0,250,223.146404
1.0,177,227.013825
0.0,129,229.803822
0.0,127,232.749369
2.0,202,237.280742
0.0,125,239.887127
1.0,172,243.519858
1.0,173,247.615281
0.0,127,250.500495
0.0,125,253.060395
0.0,127,255.730264
1.0,174,259.78844
0.0,129,262.512037
2.0,202,267.045993
0.0,129,269.986418
0.0,125,272.561336
1.0,157,275.942541
1.0,175,279.757455
1.0,171,283.793168
0.0,129,286.538589
0.0,129,289.327297
2.0,202,293.96725
1.0,155,297.180778
1.0,157,300.652786
0.0,125,303.310602
0.0,127,306.31315
0.0,127,308.961235
1.0,155,312.18792
0.0,129,314.887385
2.0,202,319.384838
0.0,129,322.183301
1.0,174,325.873282
0.0,129,328.800377
2.0,223,333.710855
0.0,129,336.388876
2.0,201,340.918578
12.0,404,350.116433
2.0,199,354.574605
3.0,237,359.988365
0.0,125,362.606698
0.0,127,365.514626
2.0,220,370.355575
0.0,129,373.115747
1.0,173,376.93416
0.0,127,379.634365
2.0,220,384.398077
1.0,173,387.928031
0.0,127,390.722604
1.0,157,394.099001
0.0,129,396.802791
15.0,549,409.338961
0.0,127,412.422451
2.0,198,416.768463
9.0,404,426.235086
2.0,200,430.761764
0.0,127,433.588874
4.0,278,439.990937
0.0,127,442.695138
5.0,350,450.41765
9.0,403,459.446725
0.0,127,462.320725
0.0,127,465.005091
0.0,129,467.741063
1.0,157,471.100137
0.0,129,473.867253
0.0,129,476.580731
4.0,297,483.198189
0.0,127,486.009287
4.0,297,492.688699
3.0,271,498.63833
0.0,127,501.311619
2.0,204,505.587739
9.0,403,514.789167
5.0,350,522.731694
2.0,198,526.977113
0.0,129,529.670422
9.0,404,539.073755
2.0,202,543.834744
0.0,127,546.437979
2.0,202,550.619841
11.0,480,561.667035
1.0,173,565.384794
5.0,350,573.325394
0.0,129,575.866226
0.0,129,578.782614
5.0,350,586.490174
0.0,129,589.068051
2.0,202,593.718547
0.0,129,596.395553
2.0,200,600.791652
0.0,129,603.704172
5.0,350,611.315503
5.0,350,619.333318
0.0,125,622.044604
0.0,129,624.709943
0.0,129,627.511302
5.0,350,635.364267
7.0,322,642.507087
1.0,173,646.376033
2.0,202,650.802566
0.0,125,653.329975
4.0,297,659.9136
0.0,125,662.633086
0.0,127,665.117452
0.0,127,667.739006
0.0,127,670.46188
0.0,129,673.467542
2.0,202,677.920526
0.0,127,680.512604
6.0,400,689.441895
6.0,402,698.620006
0.0,125,701.159384
3.0,248,706.546221
2.0,202,711.077852
4.0,280,717.033144
4.0,297,723.589818
0.0,125,726.110962
1.0,174,729.867519
1.0,175,733.670824
5.0,350,741.26394
0.0,125,744.016483
0.0,129,746.662561
0.0,127,749.280035
1.0,173,752.866959
0.0,125,755.554032
0.0,127,758.06125
0.0,125,760.554333
2.0,200,764.86267
5.0,329,772.246898
5.0,352,780.350665
0.0,125,782.916466
0.0,125,785.404174
0.0,127,788.030202
6.0,378,796.464723
0.0,129,799.018057
0.0,129,802.019854
0.0,127,804.751203
0.0,129,807.486858
0.0,129,810.221624
0.0,129,813.327944
0.0,127,816.048424
9.0,404,825.243264
1.0,173,828.855273
9.0,404,838.00681
0.0,129,840.721455
0.0,129,843.396983
0.0,129,846.104746
5.0,350,853.963637
0.0,125,856.471535
0.0,127,859.152635
0.0,127,861.980351
9.0,403,870.708504
7.0,393,879.357067
0.0,129,882.094272
1.0,175,885.906288
0.0,125,888.462966
5.0,367,896.817713
0.0,129,899.508875
0.0,125,902.098265
5.0,347,909.789605
0.0,129,912.463649
4.0,301,919.200877
0.0,127,921.845091
0.0,129,924.418869
5.0,350,932.286499
0.0,127,935.030308
0.0,127,937.67832
1.0,176,941.671025
1.0,171,945.208104
5.0,350,953.128871
10.0,454,963.094739
0.0,127,965.899839
0.0,127,968.525395
0.0,127,971.171275
1.0,157,974.293928
3.0,228,979.393715
9.0,404,988.575268
2.0,202,992.902205
0.0,125,995.561582
0.0,129,998.177167
4.0,281,1004.555912
5.0,349,1012.431091
0.0,127,1015.065351
1.0,155,1018.255509
1.0,172,1021.815377
4.0,300,1028.586537
0.0,129,1031.2351
1.0,157,1034.75521
5.0,350,1042.258156
3.0,251,1047.745372
0.0,129,1050.271136
4.0,285,1056.283008
0.0,127,1059.155887
3.0,252,1064.512272
0.0,127,1067.166425
2.0,187,1071.191673
0.0,125,1073.84773
3.0,234,1078.932132
0.0,127,1081.503884
0.0,127,1084.116885
5.0,350,1092.134969
5.0,350,1099.665817
1.0,175,1103.561375
4.0,301,1109.989914
13.0,478,1120.822919
0.0,127,1123.488549
1.0,157,1127.073188
1.0,173,1130.649884
0.0,129,1133.376518
3.0,216,1137.890748
2.0,227,1142.882058
1.0,157,1146.086804
1.0,157,1149.398733
2.0,202,1154.01642
9.0,425,1163.43151
4.0,299,1169.969718
1.0,171,1173.779382
1.0,170,1177.244528
0.0,127,1179.831697
1.0,153,1183.005839
1.0,176,1186.684673
11.0,501,1198.009324
1.0,155,1201.25866
4.0,300,1207.950111
4.0,276,1213.959618
0.0,127,1216.4481
1.0,155,1219.976382
0.0,129,1222.702016
