#{"t_start": 1541001687.0131538, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,4.645091
3.0,274,10.614133
1.0,157,14.110549
1.0,178,18.056034
2.0,224,23.047352
2.0,220,28.115866
2.0,220,33.144964
0.0,127,35.814524
3.0,252,41.790574
7.0,324,48.892525
0.0,127,51.72636
0.0,127,54.349316
4.0,297,61.189228
0.0,129,64.047464
1.0,173,67.936228
0.0,129,70.699589
0.0,125,73.331033
2.0,204,78.175887
0.0,129,80.894511
1.0,173,84.580382
0.0,127,87.555107
2.0,199,91.975633
0.0,129,94.713861
3.0,250,100.552922
3.0,252,106.212983
0.0,125,108.877533
1.0,175,113.03911
1.0,157,116.389017
0.0,129,119.15982
0.0,129,121.985082
0.0,123,124.827844
0.0,127,127.654321
3.0,254,133.285869
1.0,174,137.377199
5.0,345,145.425528
0.0,125,148.316904
0.0,127,151.004986
1.0,157,154.439273
4.0,277,160.978904
0.0,129,163.762557
3.0,233,168.891654
1.0,157,172.546936
1.0,155,175.911527
1.0,155,179.075509
1.0,173,182.928913
2.0,203,187.717049
0.0,129,190.37055
0.0,129,193.089475
0.0,127,195.985166
0.0,127,198.586273
0.0,123,201.124064
0.0,125,203.838145
3.0,230,209.099203
0.0,123,211.765425
0.0,127,214.531719
1.0,172,218.230079
1.0,152,221.68093
0.0,129,224.317544
0.0,125,226.926609
0.0,129,229.736811
2.0,198,234.309421
1.0,173,238.208362
2.0,222,243.043314
1.0,155,246.64898
2.0,200,251.248877
2.0,225,256.195049
4.0,263,262.369748
0.0,127,265.152874
1.0,157,268.754868
8.0,375,277.259753
0.0,125,279.900041
2.0,204,284.676306
0.0,127,287.436107
2.0,203,291.913499
1.0,173,295.723018
3.0,248,301.425752
2.0,224,306.707479
4.0,277,312.789468
2.0,202,317.334396
5.0,328,324.718281
5.0,323,332.234645
0.0,129,334.83827
1.0,172,338.552953
2.0,220,343.381683
0.0,129,346.140368
2.0,198,350.582361
2.0,202,355.097052
2.0,220,360.179262
2.0,220,365.159494
0.0,125,367.744684
2.0,202,372.311038
1.0,152,375.549403
0.0,125,378.31792
5.0,352,386.099892
8.0,371,394.516733
0.0,129,397.22107
2.0,224,402.33154
0.0,127,404.938451
3.0,248,410.298867
0.0,127,413.367401
0.0,127,415.984378
0.0,129,418.806158
0.0,129,421.487229
0.0,129,424.467365
5.0,350,432.63722
0.0,129,435.47149
6.0,398,444.516246
0.0,129,447.10984
2.0,202,451.637473
0.0,127,454.206574
0.0,129,456.882794
0.0,127,459.486627
0.0,129,462.405646
0.0,129,465.127917
2.0,186,469.222491
6.0,400,478.406116
0.0,129,481.052694
4.0,297,487.854264
3.0,248,493.311607
7.0,428,502.89651
5.0,348,510.635593
0.0,129,513.402896
2.0,198,517.71217
0.0,127,520.515037
6.0,394,529.305872
0.0,127,532.253806
0.0,129,534.898538
0.0,129,537.595684
0.0,129,540.376753
0.0,127,543.2029
2.0,202,547.600723
2.0,200,551.873456
0.0,129,554.690353
0.0,127,557.384082
9.0,404,566.681362
3.0,248,571.984069
1.0,159,575.183587
0.0,129,578.109264
0.0,125,580.644478
0.0,129,583.22907
0.0,125,585.799005
7.0,429,595.638581
2.0,202,600.1252
0.0,129,603.01084
8.0,350,610.669653
0.0,127,613.520074
6.0,394,622.427747
0.0,127,625.276515
0.0,127,627.81154
0.0,127,630.517601
4.0,297,637.264089
1.0,176,640.786848
0.0,127,643.481862
4.0,297,650.273953
2.0,202,654.567558
5.0,352,662.552639
5.0,371,670.831838
2.0,200,675.460611
0.0,127,678.167902
0.0,127,680.798602
4.0,297,687.255717
0.0,129,689.977125
0.0,125,692.548225
2.0,183,696.658546
1.0,175,700.379385
0.0,125,702.972641
2.0,200,707.485425
5.0,350,715.023389
2.0,202,719.360503
1.0,155,722.585158
0.0,127,725.159008
