#{"t_start": 1541001686.759088, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,155,5.464382
1.0,155,8.679054
2.0,202,13.061248
2.0,201,17.679161
2.0,221,22.585168
4.0,319,30.087097
0.0,127,32.815701
1.0,175,36.672903
1.0,173,40.723498
2.0,225,45.67027
5.0,374,54.17308
1.0,155,57.591182
0.0,125,60.253827
3.0,247,65.935096
0.0,127,68.733093
4.0,297,75.784381
0.0,127,78.53207
3.0,272,84.520473
4.0,277,91.030192
0.0,127,93.776569
1.0,173,97.48784
1.0,155,101.150668
3.0,272,107.303611
0.0,129,110.163183
1.0,170,114.055841
3.0,232,119.244684
4.0,284,126.065559
1.0,173,129.984395
1.0,171,133.596951
2.0,201,138.374571
0.0,127,141.124962
0.0,129,143.834087
0.0,129,146.698413
1.0,171,150.628932
1.0,174,154.465189
1.0,155,158.035878
0.0,127,160.835057
2.0,185,164.905102
0.0,129,167.647446
2.0,203,172.321561
0.0,123,174.962939
0.0,125,177.470748
0.0,123,179.956843
1.0,175,183.906359
1.0,173,187.925888
0.0,129,190.584521
0.0,129,193.30257
0.0,129,196.26997
0.0,127,198.88015
4.0,319,206.127021
1.0,176,210.063639
0.0,129,212.903361
3.0,252,218.634288
1.0,178,222.625471
3.0,250,228.172714
1.0,157,231.600421
3.0,251,237.634541
1.0,173,241.319557
1.0,173,245.316955
0.0,125,247.976966
1.0,171,251.823998
0.0,123,254.416167
0.0,127,257.342942
1.0,172,261.086619
0.0,127,263.809518
1.0,178,267.733875
2.0,200,272.341696
1.0,173,275.981143
3.0,252,282.01128
2.0,198,286.383177
0.0,127,289.064371
3.0,248,294.78045
0.0,129,297.437063
6.0,399,307.015411
1.0,169,310.596281
2.0,202,314.992329
0.0,129,317.803198
0.0,127,320.400413
0.0,127,323.167744
2.0,220,327.944767
0.0,125,330.783242
2.0,220,335.526088
5.0,352,343.480615
5.0,350,351.643355
3.0,246,357.097512
0.0,127,359.94481
0.0,127,362.628376
0.0,127,365.509289
0.0,125,368.074537
1.0,153,371.440441
0.0,125,374.099375
0.0,129,376.888679
3.0,250,382.411892
7.0,451,392.622149
0.0,129,395.310275
0.0,125,397.950871
0.0,129,400.786996
0.0,127,403.433105
2.0,198,407.658756
5.0,308,414.889486
0.0,127,417.578449
2.0,202,422.048964
2.0,202,426.718131
0.0,129,429.50899
0.0,125,432.304374
2.0,200,437.056831
1.0,173,440.655152
0.0,125,443.297916
11.0,475,453.912744
0.0,125,456.482414
2.0,202,461.012625
0.0,129,463.823157
0.0,127,466.510907
9.0,401,475.683612
3.0,269,481.636299
0.0,125,484.54632
10.0,451,494.636684
8.0,372,502.955817
0.0,127,505.513395
2.0,200,509.929747
2.0,202,514.387373
10.0,450,524.594201
0.0,129,527.315244
0.0,125,529.867459
3.0,246,535.542088
0.0,129,538.25123
0.0,129,541.001592
0.0,127,543.911987
2.0,220,548.675982
9.0,401,557.861828
2.0,200,562.134328
9.0,404,571.339849
5.0,350,579.24139
9.0,404,588.099656
0.0,125,590.930353
3.0,246,596.366176
4.0,299,603.267607
0.0,129,605.964804
13.0,479,616.805253
0.0,129,619.43947
0.0,129,622.233029
1.0,174,626.16002
0.0,129,628.826034
0.0,129,631.632875
0.0,127,634.173707
9.0,404,643.20356
0.0,127,645.92035
5.0,350,653.789901
10.0,430,663.525261
2.0,200,667.705653
0.0,127,670.46736
2.0,202,675.172226
0.0,129,677.886911
4.0,297,684.552971
0.0,129,687.07274
5.0,350,694.903374
0.0,129,697.762673
5.0,350,705.553688
12.0,431,715.154094
9.0,422,724.597853
0.0,129,727.175008
0.0,123,729.75783
0.0,125,732.478989
