#{"t_start": 1541001687.1398094, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
7.0,326,9.016215
2.0,202,13.378507
0.0,125,16.222398
0.0,127,18.879371
2.0,202,23.41078
3.0,233,28.796336
2.0,181,32.83562
0.0,127,35.551081
3.0,249,41.443381
1.0,171,45.037242
0.0,127,47.646098
2.0,224,52.724927
1.0,173,56.487612
0.0,127,59.251919
4.0,276,65.618692
0.0,127,68.416847
2.0,204,72.928316
0.0,123,75.801408
0.0,127,78.508661
2.0,222,83.392631
0.0,127,86.412803
1.0,155,89.726684
7.0,326,97.065378
0.0,127,100.024981
2.0,218,104.910078
0.0,129,107.683446
2.0,222,112.973745
0.0,125,115.618491
0.0,129,118.311489
0.0,123,120.990436
0.0,127,123.951958
2.0,204,128.658579
5.0,333,136.357604
1.0,175,140.317091
2.0,225,145.417129
2.0,202,150.111305
0.0,129,152.898101
0.0,127,155.702929
1.0,155,159.106128
2.0,202,163.778541
4.0,299,170.426609
4.0,318,177.822678
1.0,173,181.529621
2.0,202,186.4363
0.0,127,189.004149
1.0,157,192.330603
2.0,216,197.310521
3.0,246,202.850112
3.0,252,208.597919
2.0,223,213.680153
0.0,129,216.427359
2.0,223,221.554999
2.0,200,225.812382
1.0,157,229.296865
0.0,129,232.314949
1.0,173,236.076572
3.0,270,242.177189
1.0,173,246.158937
0.0,127,248.973508
2.0,220,253.904964
0.0,127,256.792643
3.0,248,262.35913
0.0,129,265.201392
1.0,173,269.154774
2.0,183,273.039769
0.0,127,275.741234
0.0,129,278.502824
0.0,129,281.535362
1.0,155,284.903184
0.0,129,287.723833
0.0,127,290.428183
5.0,372,298.904486
1.0,158,302.429815
0.0,127,305.433882
3.0,267,311.308457
2.0,224,316.202152
3.0,232,321.50795
2.0,200,325.865315
3.0,252,331.656911
5.0,348,339.431469
0.0,129,342.148365
1.0,155,345.483773
3.0,230,350.700397
4.0,279,357.054353
0.0,129,359.944722
5.0,333,367.573476
2.0,200,372.08039
0.0,125,374.710445
0.0,127,377.494754
2.0,200,381.839554
0.0,129,384.529773
2.0,220,389.345253
0.0,129,392.027294
8.0,375,400.620571
0.0,125,403.270969
8.0,377,411.95888
0.0,129,414.755019
0.0,129,417.526223
0.0,125,420.172127
1.0,155,423.511392
0.0,129,426.373789
1.0,176,430.314743
0.0,127,433.142423
0.0,125,435.864474
5.0,350,443.826564
0.0,129,446.37654
2.0,202,450.858006
0.0,129,453.490812
2.0,198,457.811036
0.0,129,460.596002
0.0,129,463.400793
0.0,129,466.172486
5.0,350,474.191972
1.0,173,477.891089
2.0,198,482.125068
2.0,200,486.725806
5.0,372,494.977985
2.0,202,499.459223
0.0,125,502.044978
0.0,125,504.500079
2.0,200,508.910277
0.0,129,511.532825
0.0,127,514.281328
0.0,125,516.842688
0.0,125,519.657059
0.0,127,522.208091
0.0,127,524.813607
0.0,127,527.452105
0.0,129,530.145957
0.0,127,533.01815
0.0,127,535.674773
2.0,200,540.127225
0.0,129,543.004714
7.0,430,552.630715
0.0,129,555.415601
0.0,125,558.072318
0.0,127,560.661476
1.0,157,563.990003
5.0,350,571.98316
2.0,200,576.127806
4.0,297,582.804151
0.0,127,585.387551
2.0,202,590.026128
11.0,484,601.093023
0.0,127,603.913222
0.0,127,606.500514
4.0,299,613.181656
2.0,202,617.52138
0.0,129,620.178975
0.0,127,622.922579
0.0,129,625.832446
2.0,226,630.825468
2.0,198,635.017148
2.0,198,639.330367
0.0,129,641.943233
0.0,127,644.671067
5.0,350,652.629436
0.0,129,655.264919
2.0,202,659.583408
0.0,127,662.322543
0.0,125,664.808232
2.0,200,669.090293
0.0,125,672.172279
0.0,129,674.790049
0.0,123,677.351658
0.0,129,680.067025
2.0,202,684.479387
6.0,402,693.367577
0.0,129,696.275379
0.0,127,698.901742
0.0,129,701.518316
4.0,282,707.917129
9.0,403,716.644681
10.0,450,726.690762
0.0,127,729.37426
0.0,127,732.154641
10.0,450,742.142069
0.0,125,744.723824
6.0,377,753.018074
0.0,129,755.802622
0.0,129,758.363002
2.0,202,762.605795
0.0,127,765.509933
2.0,200,769.595695
2.0,202,773.997887
0.0,127,776.94904
3.0,248,782.30061
5.0,350,790.248258
6.0,379,798.367569
0.0,129,801.369571
7.0,448,811.813272
1.0,155,815.458544
1.0,175,819.239411
0.0,127,821.820595
9.0,404,830.843876
0.0,127,833.450079
4.0,293,840.179834
2.0,202,844.593571
0.0,125,847.188303
2.0,202,851.591646
1.0,176,855.318373
0.0,129,858.02393
0.0,127,860.902572
0.0,127,863.501214
9.0,404,872.379579
0.0,129,874.934067
5.0,350,882.852128
5.0,350,890.49036
4.0,299,897.287247
1.0,173,900.972344
4.0,319,908.046811
2.0,220,912.810631
0.0,129,915.500101
7.0,432,925.145777
0.0,125,927.663591
5.0,350,935.738635
4.0,319,943.092988
0.0,129,945.688546
5.0,344,953.435763
0.0,127,955.987603
0.0,125,958.481784
0.0,125,961.081388
7.0,422,970.624135
1.0,157,973.739203
2.0,202,978.249435
1.0,173,981.915202
0.0,125,984.481088
1.0,153,987.879294
10.0,451,997.972491
4.0,262,1003.901858
1.0,175,1007.75405
4.0,257,1013.408639
5.0,350,1021.012822
2.0,185,1025.098667
4.0,297,1031.680887
1.0,155,1035.178663
3.0,266,1040.786716
2.0,204,1044.931821
5.0,351,1052.68561
5.0,291,1059.185802
1.0,154,1062.375114
2.0,188,1066.33232
1.0,155,1069.701565
0.0,125,1072.172584
2.0,206,1076.78473
3.0,252,1082.194486
1.0,178,1085.947265
1.0,171,1089.61481
0.0,129,1092.476141
3.0,230,1097.334523
0.0,125,1099.826954
1.0,173,1103.720533
4.0,281,1109.655601
1.0,155,1112.942164
9.0,404,1122.069845
5.0,352,1130.075478
2.0,187,1134.171128
1.0,176,1137.723359
5.0,350,1145.47035
2.0,198,1149.930518
2.0,223,1154.83571
2.0,203,1159.117439
3.0,228,1164.051732
0.0,127,1166.684834
1.0,155,1169.898552
0.0,129,1172.582829
6.0,396,1181.420161
2.0,227,1186.245299
0.0,127,1188.827111
0.0,127,1191.382382
5.0,327,1198.732919
3.0,230,1203.578959
1.0,157,1206.787524
1.0,155,1210.31042
0.0,125,1212.827372
2.0,202,1217.124771
1.0,175,1221.116374
6.0,378,1229.461171
1.0,155,1232.882772
4.0,260,1238.516183
1.0,154,1241.564822
1.0,155,1244.994768
0.0,129,1247.55436
0.0,127,1250.1088
1.0,155,1253.211226
7.0,407,1262.22431
5.0,350,1269.935499
1.0,157,1273.176625
6.0,346,1280.870056
6.0,358,1288.973073
4.0,247,1294.313546
0.0,127,1297.025468
1.0,157,1300.511884
5.0,326,1307.573563
5.0,350,1315.384262
1.0,157,1318.551788
1.0,170,1322.201298
6.0,390,1330.878814
2.0,223,1336.027183
0.0,129,1338.62132
9.0,404,1347.793867
1.0,178,1351.557085
1.0,155,1354.77832
9.0,423,1364.14393
1.0,157,1367.508912
2.0,200,1371.90821
8.0,372,1379.810575
1.0,155,1383.224381
0.0,129,1385.849558
3.0,216,1390.3846
0.0,129,1393.293841
15.0,566,1405.788003
1.0,155,1408.900788
0.0,127,1411.406221
7.0,427,1420.670182
2.0,184,1424.506132
9.0,346,1432.017029
7.0,250,1437.521918
0.0,125,1440.22321
10.0,432,1449.74566
3.0,247,1454.820614
0.0,125,1457.414302
4.0,301,1464.095092
5.0,350,1471.643093
1.0,153,1475.051326
3.0,254,1480.513385
4.0,245,1485.795059
2.0,185,1489.579314
4.0,319,1496.475332
4.0,245,1501.611957
9.0,404,1510.361726
1.0,173,1514.029056
7.0,411,1523.264839
2.0,205,1527.724123
6.0,399,1536.449837
11.0,397,1544.978672
4.0,300,1551.196919
4.0,261,1556.966143
2.0,200,1561.074924
6.0,402,1569.729244
2.0,222,1574.406405
2.0,183,1578.211656
8.0,299,1584.514433
7.0,250,1589.658277
3.0,216,1593.971615
8.0,457,1603.865263
4.0,285,1610.032937
10.0,365,1617.407803
14.0,504,1627.828801
4.0,280,1633.764981
7.0,370,1641.462786
3.0,252,1646.607899
4.0,260,1652.103463
10.0,433,1661.230436
7.0,447,1670.775122
4.0,262,1676.382751
3.0,254,1681.501168
5.0,327,1688.535494
3.0,235,1693.110534
9.0,508,1703.695677
13.0,603,1716.477986
2.0,201,1720.456164
12.0,522,1731.379022
3.0,211,1735.630555
13.0,535,1746.697621
4.0,265,1752.293256
7.0,450,1761.76727
6.0,381,1769.487221
15.0,425,1778.290201
6.0,338,1785.690803
6.0,375,1793.538331
12.0,285,1799.281398
7.0,390,1807.330622
7.0,361,1814.934255
2.0,206,1819.027108
12.0,540,1830.331136
2.0,205,1834.40156
9.0,328,1841.071634
4.0,266,1846.582341
2.0,225,1850.976093
6.0,359,1858.183159
8.0,454,1867.570595
7.0,389,1875.233732
7.0,391,1883.325273
7.0,425,1892.077036
17.0,577,1903.921947
7.0,418,1912.648276
12.0,520,1923.445062
10.0,499,1933.839945
13.0,597,1945.905836
5.0,334,1952.704125
4.0,258,1957.575475
18.0,524,1968.305033
11.0,503,1978.61678
13.0,621,1991.239437
6.0,321,1997.827569
11.0,503,2007.982334
8.0,439,2016.840119
12.0,630,2029.609984
13.0,645,2042.618402
6.0,382,2050.319518
10.0,509,2060.590052
6.0,362,2067.945854
10.0,523,2078.61257
7.0,411,2086.811887
7.0,397,2094.516175
6.0,359,2101.64366
14.0,384,2109.493335
17.0,458,2118.601083
12.0,584,2130.205652
9.0,489,2140.019376
8.0,277,2145.447616
13.0,648,2158.419565
7.0,392,2165.804444
13.0,561,2176.830082
13.0,606,2189.143811
11.0,497,2199.14872
10.0,516,2209.500052
