#{"t_start": 1541001686.9983532, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,221,6.679778
0.0,129,9.422066
3.0,211,14.158921
1.0,157,17.587925
1.0,173,21.315435
1.0,172,25.115933
0.0,127,27.972201
3.0,252,33.757621
1.0,155,37.168151
6.0,400,46.470335
3.0,234,51.695749
1.0,175,55.498603
0.0,129,58.252626
0.0,127,60.986803
1.0,176,65.000793
1.0,171,68.909738
0.0,127,71.547872
0.0,129,74.551556
2.0,201,79.028183
2.0,224,83.951748
0.0,129,86.972488
2.0,183,90.957037
1.0,173,94.788809
3.0,250,100.623686
1.0,155,103.87075
4.0,297,111.075913
1.0,156,114.405803
1.0,175,118.226781
1.0,155,121.69612
3.0,228,127.132386
2.0,183,131.097589
7.0,421,141.192277
1.0,173,144.999705
1.0,153,148.571335
2.0,224,153.590031
2.0,202,158.306714
1.0,171,162.144889
3.0,232,167.306784
0.0,127,169.920572
1.0,153,173.497766
7.0,427,183.251847
0.0,129,186.297799
2.0,224,191.123495
2.0,203,195.572783
4.0,300,202.531326
2.0,224,207.484133
4.0,299,214.677148
1.0,173,218.397995
2.0,223,223.43316
0.0,127,226.036271
2.0,185,230.178224
0.0,127,233.146285
1.0,155,236.509913
2.0,223,241.454435
2.0,204,246.158753
1.0,171,250.095281
5.0,364,258.55883
0.0,127,261.28788
1.0,173,265.165787
2.0,204,269.863487
4.0,297,276.450413
1.0,171,280.258693
2.0,221,285.476875
1.0,177,289.421784
5.0,305,296.354813
1.0,171,300.103732
1.0,153,303.502446
1.0,173,307.606078
0.0,127,310.153198
0.0,129,312.866647
4.0,298,319.560695
0.0,129,322.400012
4.0,324,329.768057
0.0,127,332.534643
1.0,157,335.757663
1.0,172,339.469112
1.0,157,342.835623
3.0,249,348.537085
0.0,129,351.303366
0.0,127,354.016304
1.0,157,357.412478
3.0,269,363.606907
3.0,252,369.32706
0.0,125,372.041848
0.0,129,374.752227
2.0,198,379.25217
2.0,202,383.560681
5.0,352,391.455456
2.0,202,395.910342
0.0,125,398.512002
0.0,127,401.301504
0.0,129,403.999868
0.0,125,406.550373
3.0,248,412.31934
0.0,129,415.102069
0.0,129,417.858907
10.0,451,428.379427
0.0,123,431.108573
3.0,248,437.069536
0.0,127,439.617068
2.0,202,443.969806
2.0,202,448.421518
3.0,248,453.762273
9.0,401,463.003557
0.0,129,465.723939
1.0,173,469.536675
0.0,129,472.365731
2.0,202,476.720421
0.0,129,479.450025
0.0,129,482.02763
0.0,129,484.983945
0.0,127,487.624251
0.0,127,490.341886
0.0,127,492.938505
0.0,127,495.655497
0.0,127,498.184296
8.0,352,505.881093
3.0,248,511.379521
0.0,125,514.072388
2.0,202,518.433434
0.0,127,521.233898
2.0,200,525.543741
0.0,129,528.240225
0.0,127,531.156794
