#{"t_start": 1541001687.132589, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,202,6.101445
2.0,204,10.590505
2.0,222,15.631038
0.0,127,18.304811
0.0,129,20.970875
2.0,186,25.170104
0.0,129,28.11478
0.0,129,30.886925
1.0,175,34.775713
1.0,175,38.838062
0.0,125,41.533838
0.0,127,44.097864
0.0,127,46.729131
5.0,370,55.196079
0.0,127,57.916663
0.0,127,60.636918
3.0,248,66.434702
4.0,319,73.727412
2.0,224,79.055576
1.0,170,82.623176
1.0,155,86.319456
1.0,157,89.694177
1.0,155,93.049597
1.0,155,96.345478
0.0,127,99.281099
1.0,155,102.610141
0.0,125,105.370292
2.0,202,109.960117
0.0,129,112.882867
2.0,219,117.754205
0.0,127,120.486688
8.0,354,129.073601
0.0,127,131.629701
1.0,155,135.244053
1.0,176,139.167552
1.0,170,142.921256
0.0,125,145.653616
0.0,127,148.56264
3.0,246,154.129604
0.0,129,157.005695
1.0,173,160.96752
0.0,125,163.600431
1.0,173,167.406057
2.0,227,172.613827
9.0,406,181.801334
1.0,176,185.987525
3.0,229,190.990944
2.0,224,196.247318
0.0,125,198.769241
1.0,174,202.573785
0.0,127,205.2576
2.0,220,210.258479
1.0,176,214.306751
0.0,127,216.983515
0.0,127,219.641109
3.0,230,224.806624
1.0,175,228.687774
0.0,129,231.437904
3.0,248,237.389997
0.0,127,239.98895
5.0,350,248.199297
3.0,250,253.914948
0.0,129,256.883311
0.0,125,259.508002
3.0,248,265.152848
0.0,129,267.909371
0.0,129,270.79426
0.0,129,273.431595
1.0,173,277.267749
8.0,377,286.179105
4.0,297,293.101465
1.0,155,296.36684
2.0,200,300.843698
0.0,129,303.598249
1.0,171,307.693989
6.0,377,316.016063
2.0,200,320.51441
6.0,357,328.809205
3.0,228,333.852567
3.0,245,339.209373
2.0,222,344.176147
1.0,170,347.909638
0.0,127,350.597288
2.0,222,355.563675
0.0,125,358.301086
0.0,127,361.085072
3.0,245,366.630364
0.0,127,369.349064
1.0,175,373.26419
2.0,202,377.746214
2.0,202,382.172383
1.0,173,385.806868
0.0,127,388.479299
0.0,127,391.121744
1.0,157,394.50542
0.0,127,397.154406
0.0,129,399.790525
2.0,200,404.342068
0.0,129,407.00651
0.0,129,409.597942
2.0,200,414.372148
1.0,157,417.862849
0.0,129,420.57875
5.0,352,428.806978
4.0,257,434.79311
2.0,200,439.323999
0.0,129,442.061451
4.0,299,448.714328
0.0,129,451.325264
0.0,129,453.956473
6.0,398,463.132652
2.0,202,467.585567
0.0,127,470.256783
0.0,127,473.040623
0.0,129,475.670528
0.0,129,478.456493
2.0,200,482.687397
2.0,198,487.255653
0.0,129,489.984864
0.0,129,492.639509
0.0,125,495.108853
2.0,224,500.063358
9.0,380,508.575271
1.0,170,512.217092
0.0,127,514.967267
0.0,125,517.470448
0.0,129,520.321995
5.0,350,528.144465
2.0,202,532.751541
0.0,127,535.388553
3.0,246,540.898345
2.0,202,545.555128
0.0,127,548.13568
0.0,127,550.678025
0.0,129,553.383704
0.0,127,556.199692
0.0,129,558.865752
2.0,202,563.218467
0.0,125,565.854624
1.0,154,569.300982
0.0,127,571.772171
3.0,248,577.110713
3.0,252,582.721835
6.0,401,591.918741
0.0,125,594.564155
5.0,350,602.615861
0.0,127,605.306241
7.0,322,612.257543
0.0,127,615.091358
0.0,127,617.703356
3.0,246,623.215873
0.0,127,626.052589
0.0,127,628.68934
8.0,350,636.405247
2.0,202,640.787268
5.0,350,648.949702
0.0,129,651.521364
0.0,127,654.098993
0.0,129,656.807882
5.0,350,664.560973
1.0,173,668.253176
0.0,127,671.066191
0.0,127,673.969938
2.0,221,678.81295
0.0,129,681.560912
2.0,202,685.842627
0.0,127,688.437415
2.0,198,692.700761
0.0,129,695.696335
9.0,380,704.007829
1.0,173,707.895159
0.0,125,710.45136
2.0,202,714.599175
4.0,297,721.129138
5.0,350,728.953777
0.0,129,731.738149
3.0,248,736.889777
0.0,129,739.52616
3.0,228,744.634383
10.0,453,754.820022
4.0,299,761.23806
0.0,125,763.799304
2.0,198,768.238013
0.0,127,770.774058
2.0,202,775.155272
3.0,248,780.795661
0.0,129,783.475596
1.0,157,786.749239
0.0,127,789.597574
2.0,200,793.716304
5.0,352,801.722703
3.0,248,807.294789
2.0,198,811.780412
0.0,127,814.721753
5.0,329,822.14091
5.0,350,829.932491
0.0,127,832.512952
0.0,129,835.093491
5.0,352,843.280212
2.0,202,847.944466
5.0,352,855.516336
5.0,331,863.120218
1.0,176,866.760197
0.0,129,869.234329
0.0,127,872.032064
5.0,372,880.060685
0.0,125,882.969967
0.0,127,885.396697
0.0,129,888.042086
0.0,125,890.638269
2.0,202,895.225935
0.0,125,897.763498
8.0,377,906.209425
0.0,127,908.742077
0.0,129,911.417348
0.0,129,914.09481
1.0,173,917.946713
1.0,173,921.575748
1.0,176,925.226618
5.0,350,933.194308
0.0,125,935.833567
0.0,129,938.578236
2.0,200,943.056757
2.0,200,947.240262
3.0,253,952.910668
1.0,157,956.233242
4.0,297,962.571909
0.0,127,965.398352
0.0,129,968.060378
9.0,404,977.068846
2.0,202,981.415391
0.0,127,984.027178
1.0,173,987.885245
5.0,350,995.714722
4.0,299,1002.386778
9.0,382,1011.199004
0.0,129,1013.740295
2.0,202,1018.020688
1.0,155,1021.233936
2.0,218,1026.105726
0.0,127,1028.71665
1.0,155,1031.95476
1.0,155,1035.444576
1.0,155,1038.625177
2.0,190,1042.51574
6.0,253,1048.021646
5.0,326,1054.894605
1.0,155,1058.374368
1.0,153,1061.601798
1.0,175,1065.19401
2.0,183,1069.192628
5.0,308,1076.051905
4.0,299,1082.654717
1.0,155,1085.800433
1.0,155,1089.079465
2.0,222,1094.089337
0.0,127,1096.604276
0.0,127,1099.161323
2.0,186,1103.068074
3.0,253,1108.6376
1.0,153,1111.834088
0.0,129,1114.505494
1.0,178,1118.438434
0.0,129,1121.057731
0.0,129,1123.777241
1.0,155,1127.292121
10.0,551,1139.708335
5.0,350,1147.313178
4.0,327,1154.755194
4.0,281,1160.733624
6.0,397,1169.657612
4.0,297,1176.329459
5.0,372,1184.524065
2.0,188,1188.391601
2.0,205,1192.737655
5.0,350,1200.593517
1.0,157,1203.829138
0.0,127,1206.34928
5.0,314,1213.505265
2.0,206,1217.841489
1.0,155,1221.398371
7.0,427,1231.093868
5.0,327,1238.177832
3.0,272,1244.150374
1.0,173,1247.76013
4.0,267,1253.433392
5.0,352,1261.182501
4.0,244,1266.445273
5.0,295,1272.874223
3.0,230,1277.876663
2.0,201,1282.205187
5.0,326,1289.532877
3.0,214,1294.085718
1.0,155,1297.466766
7.0,404,1306.441842
1.0,153,1309.694052
5.0,287,1315.995598
0.0,129,1318.597709
3.0,213,1323.4974
6.0,342,1330.766611
0.0,127,1333.43688
0.0,129,1336.390272
3.0,254,1341.715246
5.0,312,1348.864972
2.0,208,1353.336047
3.0,236,1358.676734
4.0,297,1364.899096
0.0,129,1367.671603
3.0,233,1372.757563
5.0,313,1379.341727
2.0,204,1383.881477
1.0,155,1387.103271
6.0,342,1394.715212
6.0,349,1402.1317
1.0,155,1405.567318
2.0,187,1409.414613
0.0,129,1411.897446
4.0,281,1418.018791
13.0,478,1428.409493
3.0,231,1433.394386
3.0,218,1438.340191
3.0,218,1442.894897
2.0,201,1446.988599
14.0,506,1458.196014
4.0,317,1465.319628
8.0,421,1474.630063
1.0,155,1477.874912
3.0,248,1483.148455
4.0,275,1489.070794
4.0,319,1495.949824
3.0,252,1501.238684
4.0,245,1506.576174
4.0,247,1511.656335
0.0,127,1514.331913
1.0,178,1518.303298
5.0,315,1525.111278
2.0,183,1529.068477
5.0,309,1535.731724
6.0,336,1542.957175
6.0,351,1550.28135
6.0,374,1558.514247
2.0,224,1563.295898
1.0,157,1566.447667
9.0,351,1573.758466
4.0,262,1579.508658
6.0,379,1587.516246
4.0,267,1592.905559
1.0,155,1596.296881
9.0,348,1603.487828
5.0,302,1610.077422
6.0,378,1617.693704
6.0,399,1625.990193
3.0,228,1630.672437
2.0,204,1634.781291
6.0,363,1642.378834
11.0,448,1651.896592
2.0,204,1656.027391
3.0,219,1660.434492
17.0,605,1673.716805
2.0,202,1677.80477
4.0,262,1683.085663
7.0,248,1688.350274
8.0,297,1694.548692
6.0,329,1701.088985
14.0,479,1711.054289
8.0,497,1721.467517
13.0,532,1732.690973
4.0,280,1738.540332
9.0,329,1745.052036
3.0,250,1750.3633
2.0,228,1754.905518
2.0,187,1758.480135
3.0,238,1763.482633
3.0,230,1768.036781
11.0,474,1777.858125
11.0,271,1783.749573
7.0,248,1788.821226
11.0,472,1798.745014
14.0,621,1811.644127
15.0,612,1824.841568
3.0,211,1828.910012
5.0,372,1836.652198
6.0,383,1844.358703
6.0,353,1851.62713
12.0,625,1864.33849
4.0,297,1870.389454
14.0,380,1878.256461
10.0,453,1887.581248
6.0,358,1894.640884
7.0,408,1903.015623
8.0,428,1911.973584
3.0,253,1916.938355
10.0,374,1924.697428
9.0,491,1934.9721
10.0,522,1945.384704
8.0,438,1954.269731
13.0,551,1965.506131
14.0,577,1977.19451
7.0,385,1985.161799
4.0,258,1990.161
6.0,361,1997.539237
14.0,644,2010.683229
11.0,516,2021.093148
14.0,647,2034.129639
13.0,371,2041.473989
11.0,271,2047.073394
13.0,563,2058.37771
10.0,537,2069.299978
9.0,448,2078.382078
8.0,437,2087.147918
7.0,391,2094.772439
16.0,501,2104.749805
26.0,802,2121.143883
10.0,585,2132.920379
14.0,656,2146.091628
10.0,527,2156.427049
8.0,438,2164.976749
9.0,499,2174.727494
15.0,402,2182.641886
11.0,536,2193.376461
13.0,472,2202.966212
10.0,554,2213.901987
20.0,660,2227.012275
12.0,573,2238.379953
12.0,602,2250.497662
15.0,577,2262.040338
21.0,737,2276.645325
22.0,691,2290.181408
19.0,591,2301.914524
26.0,788,2317.426161
12.0,524,2327.826186
7.0,405,2335.875655
12.0,566,2346.973783
16.0,722,2361.045566
23.0,745,2375.61809
34.0,967,2394.784612
12.0,590,2406.28048
17.0,771,2421.58142
14.0,671,2434.75559
12.0,577,2446.057404
26.0,948,2464.787807
35.0,975,2483.735609
17.0,492,2493.334843
18.0,484,2502.540365
10.0,508,2512.49712
43.0,1127,2534.439095
23.0,727,2548.295027
