#{"t_start": 1541001687.133644, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,173,5.425807
3.0,233,10.588339
0.0,129,13.192727
0.0,127,16.095929
0.0,129,18.807256
1.0,175,22.659722
2.0,222,27.760105
2.0,200,32.295822
3.0,270,38.655339
2.0,200,43.064017
4.0,261,48.775818
1.0,157,52.328116
2.0,203,56.820196
0.0,127,59.577728
1.0,175,63.509034
0.0,125,66.183174
0.0,127,68.99218
1.0,155,72.325915
1.0,168,76.246188
1.0,157,79.683054
1.0,175,83.440942
2.0,218,88.549794
0.0,125,91.17669
3.0,247,96.647192
0.0,127,99.613244
0.0,129,102.321314
2.0,202,106.886196
0.0,127,109.70387
2.0,202,114.409912
0.0,129,117.106235
0.0,127,119.837673
0.0,127,122.64037
3.0,271,129.14714
2.0,219,133.867315
0.0,125,136.77462
2.0,198,141.325911
1.0,155,144.670919
2.0,202,149.389805
0.0,125,152.050105
0.0,125,154.830971
1.0,175,158.781932
0.0,129,161.635298
2.0,223,166.589814
0.0,127,169.193345
1.0,157,172.854627
0.0,127,175.586838
4.0,299,182.172685
1.0,157,185.89009
5.0,348,193.740201
1.0,155,197.237384
2.0,201,201.6603
0.0,127,204.383501
0.0,129,207.071074
1.0,173,210.99379
0.0,127,213.864624
0.0,127,216.522358
1.0,174,220.561298
4.0,293,227.053955
4.0,300,234.054074
0.0,127,236.905535
4.0,299,243.540246
2.0,183,247.86324
3.0,230,253.091506
0.0,129,255.804182
1.0,153,259.315843
0.0,127,262.009079
0.0,127,264.784484
1.0,155,268.186775
5.0,373,276.783799
2.0,200,281.50016
0.0,125,284.124156
0.0,127,286.875728
0.0,127,289.654489
0.0,125,292.209928
1.0,174,296.051716
4.0,301,302.974273
1.0,155,306.680288
0.0,127,309.260119
4.0,295,315.750873
0.0,129,318.587432
2.0,202,323.08594
2.0,200,327.416021
0.0,127,330.290279
3.0,272,336.347439
0.0,127,338.932344
4.0,297,345.630594
0.0,129,348.480273
0.0,127,351.211122
3.0,270,357.316926
