#{"t_start": 1541001686.9874144, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,226,6.88221
3.0,248,12.303647
0.0,127,15.105404
0.0,129,17.835956
5.0,344,25.964114
0.0,129,28.658117
0.0,127,31.397024
2.0,224,36.401201
2.0,187,40.812714
0.0,127,43.441209
3.0,235,48.560656
2.0,200,53.046103
0.0,125,55.715241
0.0,129,58.469416
0.0,127,61.210655
0.0,127,64.025514
0.0,127,66.772883
3.0,228,71.916419
0.0,127,74.906875
0.0,125,77.559291
1.0,173,81.309354
3.0,251,87.201009
1.0,177,91.070454
0.0,127,93.727072
5.0,350,101.909516
1.0,155,105.356746
0.0,127,108.033269
1.0,171,112.091377
4.0,300,118.883918
0.0,129,121.750211
2.0,200,126.456313
3.0,244,131.943407
0.0,129,134.614023
2.0,200,139.440262
3.0,250,145.15402
2.0,202,149.796382
0.0,127,152.543096
1.0,173,156.486153
1.0,155,160.119078
0.0,125,162.734621
1.0,154,165.943838
3.0,272,172.36017
1.0,175,176.178875
0.0,129,178.75787
2.0,200,183.263084
0.0,127,186.251596
1.0,173,189.923265
0.0,127,192.602398
2.0,201,197.145046
0.0,129,199.914217
0.0,129,202.608529
1.0,153,205.952101
0.0,127,208.749574
0.0,129,211.479991
3.0,251,217.261373
1.0,155,220.846593
0.0,125,223.318123
1.0,171,227.005182
8.0,372,235.822302
2.0,218,240.715438
1.0,173,244.735933
1.0,175,248.555573
0.0,123,251.275139
0.0,129,253.962764
0.0,127,256.839288
0.0,127,259.531296
1.0,175,263.43837
0.0,129,266.198987
0.0,125,269.055557
1.0,175,272.763978
1.0,176,276.603194
1.0,155,280.047855
1.0,153,283.587365
3.0,233,288.79043
0.0,127,291.552012
3.0,272,297.713223
1.0,157,301.203332
0.0,129,303.954696
0.0,125,306.964813
3.0,272,312.913538
0.0,125,315.413642
2.0,202,319.951161
2.0,203,324.425361
0.0,129,327.116865
0.0,129,330.053289
1.0,175,333.860244
4.0,299,340.615821
1.0,156,343.848811
0.0,129,346.645403
2.0,198,351.075931
4.0,319,358.378146
1.0,171,362.163426
2.0,202,366.726973
0.0,125,369.401248
5.0,329,377.018449
4.0,297,383.649915
2.0,200,387.776875
1.0,176,391.733741
1.0,175,395.577729
0.0,127,398.197653
0.0,129,401.007776
2.0,202,405.468224
2.0,200,409.664554
0.0,125,412.687552
5.0,331,420.248721
0.0,125,422.904991
0.0,127,425.766531
0.0,127,428.432699
0.0,129,431.285706
0.0,127,434.0969
5.0,329,441.67904
2.0,202,445.96578
10.0,432,455.67636
0.0,129,458.399585
2.0,188,462.693575
2.0,202,467.18274
2.0,200,471.519594
0.0,127,474.29873
0.0,129,476.993357
0.0,129,479.703134
5.0,331,487.273322
2.0,199,491.657027
5.0,349,499.43329
5.0,350,507.194176
4.0,299,513.822817
9.0,404,523.06258
0.0,125,525.697758
2.0,202,530.02512
0.0,125,532.898776
1.0,172,536.593809
0.0,127,539.310509
1.0,157,542.842086
0.0,129,545.562304
0.0,125,548.121959
0.0,129,550.689368
0.0,129,553.408448
0.0,129,556.266246
9.0,382,564.773511
7.0,448,574.897968
0.0,125,577.513161
0.0,127,580.330117
0.0,129,582.86686
0.0,127,585.420032
0.0,129,588.120151
11.0,501,599.782589
4.0,297,606.553401
1.0,175,610.223948
2.0,227,615.343542
0.0,127,617.952316
0.0,129,620.629552
3.0,248,626.403789
1.0,155,629.643194
0.0,129,632.432847
5.0,329,639.696559
5.0,350,647.566326
2.0,200,651.971633
2.0,202,656.316412
0.0,127,658.88455
0.0,127,661.677393
5.0,347,669.245324
2.0,200,674.057081
2.0,198,678.365486
0.0,127,681.073441
2.0,202,685.35174
9.0,404,694.319731
0.0,129,697.19298
0.0,127,699.822555
1.0,156,703.144794
0.0,127,705.711693
6.0,380,714.175747
3.0,271,720.083848
0.0,129,722.742944
2.0,200,726.984754
8.0,331,734.444547
5.0,352,742.255471
2.0,198,746.533734
0.0,129,749.189264
10.0,450,759.225641
9.0,404,768.278095
0.0,127,770.831474
0.0,125,773.508499
2.0,198,778.080651
2.0,200,782.241541
0.0,127,784.758505
2.0,202,789.410539
5.0,309,795.97253
2.0,219,800.967135
4.0,297,807.750274
4.0,322,815.401073
1.0,175,819.208848
3.0,246,824.7509
0.0,127,827.292757
5.0,350,834.887091
2.0,202,839.541425
2.0,202,844.009392
1.0,174,847.964695
4.0,280,853.923792
5.0,331,861.501259
0.0,127,864.150846
3.0,268,869.685178
4.0,297,876.266684
3.0,248,881.651693
1.0,175,885.419302
6.0,401,894.610415
1.0,173,898.333294
2.0,202,902.638816
4.0,297,909.177288
0.0,129,911.859115
0.0,127,914.514893
0.0,129,917.080096
2.0,202,921.594429
4.0,301,928.097068
2.0,198,932.549713
0.0,129,935.347064
0.0,127,937.976783
2.0,203,942.60797
4.0,299,949.076738
7.0,444,959.078867
6.0,401,968.083756
3.0,275,973.996445
4.0,299,980.748433
0.0,127,983.357695
3.0,273,989.488623
2.0,200,993.756096
1.0,155,997.039671
0.0,129,999.896007
0.0,127,1002.489296
3.0,211,1007.154485
3.0,246,1012.639674
2.0,183,1016.491327
5.0,346,1024.223554
2.0,202,1028.524879
2.0,200,1032.807425
4.0,296,1039.519166
1.0,174,1043.015512
10.0,450,1052.899154
0.0,127,1055.371801
3.0,234,1060.661222
10.0,411,1069.849786
0.0,127,1072.407032
9.0,404,1081.448794
3.0,251,1086.918301
0.0,125,1089.467122
2.0,198,1093.941959
3.0,235,1098.916792
3.0,254,1104.649838
1.0,157,1107.738641
2.0,187,1111.67703
0.0,125,1114.300398
0.0,127,1117.073002
2.0,203,1121.379667
1.0,157,1124.746953
0.0,129,1127.659351
1.0,173,1131.273367
0.0,129,1133.930497
3.0,270,1139.926487
0.0,127,1142.434898
5.0,352,1150.389083
3.0,253,1155.899316
1.0,157,1159.129736
1.0,176,1162.906924
4.0,299,1169.420701
0.0,125,1172.023852
0.0,129,1174.801996
5.0,372,1182.862905
2.0,198,1187.07914
0.0,129,1189.718543
0.0,125,1192.253028
0.0,129,1194.80925
0.0,127,1197.682087
1.0,155,1200.851111
4.0,297,1207.229844
3.0,211,1211.990648
0.0,129,1214.656334
2.0,185,1218.509799
1.0,155,1222.101983
0.0,129,1224.701136
8.0,300,1231.470816
5.0,320,1238.419795
1.0,155,1241.498815
4.0,276,1247.653041
5.0,347,1255.232648
5.0,352,1262.852613
4.0,297,1269.311443
7.0,250,1274.668225
2.0,182,1278.715992
0.0,127,1281.275548
4.0,287,1287.523412
1.0,157,1291.018453
1.0,175,1294.731627
3.0,251,1300.485089
0.0,127,1303.082812
1.0,153,1306.097844
1.0,175,1309.835578
0.0,129,1312.665509
3.0,246,1317.821161
2.0,204,1322.190359
2.0,198,1326.615765
