#{"t_start": 1541001686.7214148, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,4.935863
0.0,127,7.498994
1.0,173,11.243615
0.0,129,14.06411
0.0,129,16.82652
0.0,127,19.467335
1.0,155,22.846225
0.0,129,25.580973
2.0,199,30.215549
0.0,127,32.912601
1.0,175,36.756592
0.0,129,39.76767
3.0,253,45.348299
3.0,272,51.502774
0.0,127,54.109238
2.0,202,58.643261
0.0,127,61.401169
2.0,206,66.136695
0.0,127,68.94527
1.0,171,72.6494
0.0,127,75.63168
0.0,129,78.387452
2.0,222,83.201441
0.0,127,85.962641
2.0,182,90.217654
2.0,183,94.216358
1.0,173,97.982642
0.0,123,100.84343
1.0,173,104.591679
1.0,172,108.404659
0.0,129,111.507247
2.0,198,115.848919
1.0,171,119.572217
1.0,154,123.052756
0.0,125,125.916862
0.0,129,128.817588
1.0,175,132.519778
0.0,125,135.126543
1.0,155,138.827042
2.0,226,143.956987
1.0,157,147.440703
0.0,125,150.23464
0.0,125,152.963766
0.0,127,155.761279
0.0,127,158.539991
4.0,261,164.536079
0.0,125,167.177341
0.0,125,169.753046
0.0,123,172.570278
1.0,153,175.902221
0.0,127,178.470629
2.0,202,182.911361
4.0,324,190.524337
2.0,199,194.853398
2.0,223,200.052518
2.0,222,204.963847
2.0,224,210.041687
0.0,127,212.835744
0.0,125,215.583914
1.0,174,219.348792
2.0,224,224.425478
0.0,127,227.031941
0.0,129,229.832422
1.0,174,233.894486
1.0,173,237.83745
0.0,129,240.496796
1.0,178,244.526212
2.0,204,249.110077
0.0,127,251.91223
4.0,299,258.835109
5.0,330,266.464252
1.0,178,270.547852
1.0,178,274.382219
0.0,129,277.090873
0.0,127,279.800959
0.0,123,282.76108
0.0,125,285.366218
1.0,152,288.658118
0.0,129,291.432271
3.0,252,297.104121
0.0,127,299.78262
1.0,173,303.667711
0.0,129,306.698961
11.0,486,317.840616
2.0,198,322.208225
0.0,129,324.88017
0.0,129,327.549287
0.0,129,330.474859
4.0,321,337.643418
1.0,177,341.578092
1.0,154,344.835305
4.0,300,351.761918
2.0,225,356.682238
0.0,129,359.548594
0.0,125,362.187658
4.0,295,369.004301
2.0,201,373.53987
1.0,173,377.374968
0.0,125,380.012334
4.0,297,386.514918
0.0,125,389.205558
1.0,176,393.001073
0.0,127,395.620587
4.0,299,402.446328
0.0,127,405.094702
4.0,279,411.211946
0.0,127,414.227325
2.0,202,418.747842
4.0,301,425.759651
4.0,299,432.703449
0.0,129,435.536099
0.0,125,438.380908
2.0,202,442.727523
1.0,155,445.89241
