#{"t_start": 1541001687.1008458, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,202,6.132964
2.0,206,10.679365
3.0,250,16.404727
0.0,123,18.965736
0.0,125,21.592957
1.0,173,25.410734
1.0,172,29.377642
0.0,129,32.109164
0.0,129,34.964221
1.0,153,38.459718
2.0,203,42.937046
1.0,157,46.278766
1.0,155,49.498899
0.0,125,52.3064
0.0,125,54.910524
1.0,170,58.659182
0.0,125,61.341083
0.0,125,64.142127
0.0,129,66.941085
3.0,270,73.062488
2.0,202,77.812634
0.0,129,80.564259
0.0,129,83.193056
0.0,129,86.010307
3.0,268,92.246505
1.0,173,96.016652
1.0,155,99.578068
4.0,321,107.005399
0.0,125,109.736267
2.0,201,114.397676
0.0,129,117.098012
1.0,173,120.960304
0.0,127,123.907006
0.0,127,126.66361
0.0,129,129.528782
6.0,380,138.444982
0.0,127,141.220118
7.0,304,148.403418
3.0,275,154.70776
0.0,127,157.512763
0.0,127,160.360304
3.0,253,165.982142
1.0,157,169.372226
1.0,153,172.929665
4.0,280,179.092027
0.0,127,181.755862
0.0,127,184.760403
1.0,177,188.631702
0.0,129,191.319489
1.0,176,195.121953
4.0,277,201.490327
0.0,125,204.196099
2.0,203,208.850456
0.0,125,211.512138
0.0,127,214.294765
1.0,153,217.572358
0.0,129,220.530943
0.0,125,222.980286
2.0,222,227.975448
2.0,202,232.729675
0.0,127,235.380274
6.0,356,243.475341
1.0,155,247.142717
0.0,127,249.953096
0.0,127,252.616863
1.0,171,256.52992
0.0,127,259.229951
2.0,202,263.781294
0.0,127,266.504374
2.0,198,271.091829
2.0,202,275.395037
0.0,127,278.155026
0.0,125,281.071687
1.0,154,284.374367
0.0,127,287.158549
0.0,125,289.838634
0.0,127,292.439401
0.0,129,295.26987
0.0,125,297.932427
0.0,129,300.7146
1.0,174,304.558234
1.0,171,308.532666
3.0,270,314.467429
4.0,299,321.315266
2.0,204,325.698449
2.0,202,330.382872
1.0,153,333.627371
7.0,445,343.736676
0.0,127,346.47858
0.0,125,349.151472
4.0,300,355.935208
2.0,205,360.711482
2.0,204,365.353035
2.0,198,369.690921
9.0,402,379.002527
3.0,248,384.445472
2.0,223,389.309213
0.0,127,391.933495
3.0,248,397.466387
9.0,403,406.688535
5.0,350,414.932055
0.0,127,417.632905
2.0,202,422.114776
0.0,127,424.973159
0.0,125,427.581402
0.0,127,430.310703
0.0,127,433.142063
0.0,129,436.011327
0.0,129,438.836173
3.0,248,444.216537
5.0,310,451.148423
0.0,127,453.732137
0.0,125,456.329245
0.0,127,458.935372
0.0,125,461.724934
2.0,198,466.088597
0.0,127,468.752594
0.0,129,471.496989
4.0,297,478.237676
5.0,346,486.152641
1.0,172,489.897956
6.0,402,498.91907
0.0,127,501.579342
0.0,129,504.135708
2.0,202,508.528086
4.0,301,515.365316
3.0,248,520.913978
10.0,432,530.901488
0.0,129,533.501125
3.0,248,539.075281
1.0,155,542.385747
0.0,127,545.27234
0.0,127,547.844996
0.0,127,550.375275
2.0,202,554.933562
5.0,350,562.781841
0.0,127,565.430828
0.0,129,568.388822
2.0,202,572.61921
9.0,404,581.668519
11.0,482,592.688951
2.0,198,597.034381
2.0,202,601.680745
0.0,125,604.292745
9.0,403,613.363961
0.0,129,615.982055
0.0,129,618.6652
0.0,129,621.374016
0.0,127,624.081986
2.0,202,628.665179
10.0,451,638.851123
5.0,350,646.771479
0.0,127,649.541087
0.0,127,652.088861
10.0,455,662.363795
0.0,125,664.847313
3.0,248,670.379874
6.0,372,679.107833
6.0,379,687.516374
0.0,127,690.161389
2.0,202,694.490683
0.0,127,697.293409
0.0,127,699.926342
0.0,129,702.616289
2.0,202,706.862129
0.0,129,709.72651
2.0,198,713.850068
1.0,175,717.481403
0.0,129,720.221169
2.0,202,724.515372
2.0,198,728.8401
0.0,129,731.598161
0.0,127,734.113771
2.0,202,738.266101
9.0,380,746.947429
0.0,129,749.658955
2.0,202,754.035699
4.0,299,760.379991
