#{"t_start": 1541001686.9804087, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,223,6.764566
3.0,252,12.349904
0.0,129,15.243643
2.0,185,19.315834
0.0,127,21.969468
0.0,125,24.609485
0.0,127,27.471905
1.0,176,31.404307
3.0,275,37.700707
1.0,155,41.284231
2.0,201,45.647388
2.0,224,50.641748
0.0,129,53.325266
6.0,375,62.201458
0.0,129,64.886392
1.0,173,68.822944
0.0,127,71.441376
0.0,125,74.388466
2.0,223,79.401033
1.0,176,83.137215
0.0,129,85.94688
1.0,173,89.957839
0.0,129,92.657343
2.0,220,97.548115
0.0,123,100.386363
2.0,222,105.402482
1.0,170,109.15149
2.0,202,113.91174
0.0,127,116.530929
4.0,264,122.648962
0.0,125,125.537823
0.0,125,128.319576
2.0,202,132.643251
0.0,129,135.683014
2.0,203,140.249603
0.0,129,142.982256
0.0,127,145.805715
0.0,127,148.716429
1.0,174,152.479487
4.0,301,159.612962
3.0,233,164.934796
0.0,129,167.677958
0.0,127,170.24559
1.0,171,174.30535
3.0,255,179.826008
1.0,154,183.224648
0.0,127,186.195305
0.0,125,188.814272
2.0,188,192.87936
1.0,171,196.771915
0.0,127,199.411524
0.0,125,202.024588
1.0,157,205.477282
2.0,198,209.947687
0.0,127,212.772121
0.0,125,215.465838
1.0,157,218.809844
0.0,129,221.714703
2.0,205,226.131493
2.0,216,231.004767
0.0,125,233.860182
0.0,127,236.621738
0.0,127,239.278414
1.0,175,243.033832
1.0,174,247.126337
0.0,127,249.936375
5.0,373,258.666612
0.0,127,261.411581
0.0,127,264.123997
1.0,175,267.983531
0.0,127,270.853868
4.0,301,277.627122
2.0,200,282.378306
1.0,155,285.703307
1.0,153,289.07464
2.0,200,293.604569
8.0,372,302.097072
2.0,201,306.914915
2.0,206,311.272123
1.0,174,315.027225
1.0,152,318.35696
0.0,129,321.078254
2.0,222,325.966489
0.0,127,328.836452
0.0,125,331.452634
1.0,173,335.12679
0.0,127,337.827007
3.0,246,343.217861
0.0,127,345.960525
2.0,220,350.938229
8.0,372,359.575589
0.0,127,362.279587
2.0,222,367.327177
0.0,129,370.117815
1.0,171,373.920955
2.0,202,378.456159
4.0,261,384.138995
0.0,129,386.798109
2.0,202,391.191632
0.0,129,393.945464
2.0,200,398.330771
1.0,175,402.242175
4.0,299,408.747212
0.0,129,411.519439
0.0,127,414.522287
3.0,272,420.731735
1.0,155,424.063387
0.0,129,426.936511
0.0,129,429.739014
0.0,125,432.541438
0.0,127,435.339975
5.0,349,443.335382
0.0,127,445.843299
0.0,129,448.64605
0.0,129,451.267352
11.0,476,462.182047
1.0,155,465.52047
2.0,223,470.476075
0.0,125,473.228355
0.0,125,475.751819
0.0,129,478.541185
4.0,318,485.7105
4.0,303,492.564277
0.0,125,495.017517
0.0,129,497.846997
2.0,200,502.141555
0.0,129,504.726018
4.0,298,511.307845
2.0,202,515.882099
10.0,431,525.644226
1.0,157,528.958141
0.0,125,531.864977
14.0,511,543.816501
0.0,129,546.472389
0.0,127,549.005661
0.0,127,551.604406
2.0,202,556.132039
0.0,129,558.85711
10.0,475,569.816488
5.0,347,577.300687
6.0,382,585.934853
2.0,202,590.483591
0.0,127,593.108756
0.0,129,595.796557
5.0,372,604.528281
1.0,155,607.698864
7.0,432,617.446613
2.0,200,621.871639
5.0,350,629.918512
0.0,127,632.638396
0.0,125,635.099079
6.0,378,643.609714
0.0,125,646.287649
5.0,352,654.151445
0.0,127,656.805101
4.0,297,663.444852
2.0,202,667.716863
0.0,127,670.436794
8.0,375,679.254989
3.0,248,684.739054
0.0,127,687.176643
0.0,127,689.880949
0.0,129,692.528326
5.0,350,700.512966
1.0,155,703.740282
2.0,200,708.249816
9.0,404,716.963023
3.0,248,722.421099
0.0,129,725.060692
0.0,125,727.659368
0.0,127,730.300678
7.0,409,739.317613
1.0,172,743.145685
0.0,125,745.766965
3.0,246,751.093366
0.0,129,753.861608
1.0,172,757.269218
0.0,127,759.915938
0.0,127,762.484386
6.0,382,771.122215
2.0,202,775.491632
1.0,155,779.055118
0.0,125,781.518136
3.0,248,786.944171
2.0,202,791.419529
1.0,175,795.026607
2.0,220,799.660489
0.0,125,802.583568
2.0,198,806.985457
0.0,129,809.716822
0.0,127,812.787154
3.0,228,817.811585
0.0,127,820.527053
5.0,350,828.412514
5.0,347,836.212935
2.0,200,840.5367
2.0,202,844.940563
0.0,129,847.602702
3.0,246,853.063116
10.0,450,863.38037
0.0,129,865.937748
0.0,129,868.491213
8.0,480,879.137673
5.0,352,887.058167
0.0,125,889.640948
2.0,202,893.933082
0.0,129,896.810961
2.0,221,901.677413
5.0,350,909.425864
0.0,127,912.039755
5.0,350,919.960393
2.0,200,924.188808
3.0,230,929.317246
3.0,248,934.803103
1.0,176,938.623556
5.0,352,946.560665
0.0,125,949.140841
0.0,127,951.746865
1.0,175,955.577988
3.0,230,960.474149
0.0,127,963.001407
0.0,129,965.866949
0.0,129,968.520002
0.0,125,971.134066
0.0,127,973.565247
0.0,127,976.310921
0.0,127,978.966117
10.0,451,989.176569
0.0,127,991.779136
0.0,129,994.505841
1.0,155,997.742391
3.0,246,1003.271486
1.0,157,1006.643396
0.0,129,1009.296008
1.0,172,1013.087406
1.0,155,1016.327871
9.0,404,1025.378467
5.0,343,1032.970456
6.0,399,1041.852007
2.0,220,1046.664485
1.0,155,1049.741291
3.0,268,1055.382463
2.0,198,1059.833409
1.0,157,1063.112294
1.0,174,1066.75561
9.0,420,1076.27168
0.0,125,1078.806779
2.0,204,1083.226957
0.0,129,1085.772718
1.0,160,1089.196633
0.0,127,1092.039626
9.0,404,1100.833559
5.0,367,1109.002373
4.0,279,1115.316085
1.0,153,1118.462709
9.0,404,1127.780203
1.0,157,1131.012496
0.0,129,1133.702686
0.0,127,1136.302088
6.0,361,1144.131505
3.0,217,1148.877725
0.0,127,1151.752684
1.0,155,1154.995162
0.0,127,1157.588363
0.0,129,1160.140983
4.0,279,1166.315617
1.0,157,1169.582058
5.0,298,1176.229681
2.0,185,1180.102516
0.0,125,1182.63027
0.0,127,1185.257192
6.0,376,1193.447185
6.0,398,1202.416712
2.0,185,1206.224266
0.0,129,1209.159863
2.0,223,1213.938076
1.0,157,1217.122136
1.0,173,1221.092215
2.0,203,1225.430321
0.0,127,1228.073449
2.0,187,1232.181055
1.0,157,1235.422158
0.0,129,1238.039613
1.0,155,1241.164762
3.0,216,1245.968931
5.0,350,1253.468394
4.0,262,1259.208033
9.0,404,1268.067124
1.0,155,1271.267282
1.0,154,1274.427671
6.0,378,1282.965091
1.0,157,1286.171876
0.0,129,1289.00568
0.0,127,1291.639762
9.0,417,1301.213352
1.0,153,1304.314273
0.0,129,1306.896569
0.0,129,1309.562454
1.0,157,1313.021365
4.0,262,1318.506566
0.0,129,1321.15288
1.0,152,1324.643973
3.0,235,1329.532939
0.0,129,1332.179154
1.0,152,1335.625644
4.0,319,1342.587391
1.0,175,1346.322036
2.0,226,1351.38377
10.0,475,1361.959549
13.0,351,1369.989657
0.0,129,1372.529296
5.0,326,1379.381832
4.0,246,1384.905417
1.0,155,1388.116339
4.0,319,1395.177893
6.0,378,1403.297907
2.0,183,1407.278621
9.0,382,1415.575808
0.0,129,1418.17092
0.0,127,1420.61679
6.0,396,1429.237793
6.0,353,1437.05704
1.0,155,1440.484606
3.0,216,1445.009764
11.0,481,1455.491587
2.0,188,1459.497918
7.0,250,1465.097928
2.0,183,1468.766041
3.0,234,1473.97718
3.0,230,1478.91539
9.0,332,1486.218575
3.0,214,1490.603666
9.0,404,1499.438098
1.0,155,1502.516773
4.0,298,1508.991021
3.0,240,1514.041142
0.0,125,1516.639753
3.0,233,1521.825869
3.0,255,1527.351061
3.0,250,1532.844424
1.0,157,1536.00493
3.0,274,1541.848013
2.0,201,1545.941781
0.0,129,1548.483783
2.0,183,1552.339596
2.0,204,1556.644184
4.0,321,1563.56142
6.0,342,1570.785238
9.0,401,1579.448342
7.0,438,1588.726915
3.0,251,1593.811365
9.0,496,1604.622854
2.0,185,1608.602201
13.0,526,1619.506811
2.0,222,1623.893185
6.0,352,1631.230716
9.0,516,1642.157951
9.0,401,1650.437639
7.0,248,1655.670012
4.0,259,1661.027898
3.0,248,1666.346135
7.0,450,1675.988903
12.0,501,1686.557679
5.0,332,1693.400692
8.0,429,1702.288512
4.0,297,1708.457933
2.0,204,1712.532231
8.0,434,1721.501374
15.0,401,1729.849649
3.0,275,1735.496232
4.0,261,1740.96545
6.0,379,1748.778236
19.0,638,1762.232919
5.0,371,1770.067434
8.0,445,1778.989418
1.0,155,1782.401791
1.0,159,1785.5231
3.0,231,1790.209133
12.0,473,1800.09433
11.0,271,1805.68059
12.0,320,1812.098253
10.0,510,1822.821804
7.0,409,1831.397866
13.0,493,1841.589354
9.0,518,1852.35953
8.0,421,1860.854065
8.0,298,1866.905467
5.0,308,1873.005598
4.0,298,1879.168713
10.0,425,1887.949435
4.0,282,1893.392357
17.0,610,1906.004475
18.0,461,1915.582612
5.0,308,1922.009107
12.0,517,1932.687179
9.0,477,1942.450999
18.0,480,1952.203916
14.0,599,1964.22767
5.0,294,1970.058124
16.0,624,1983.0207
9.0,502,1993.297498
10.0,437,2001.896857
11.0,498,2012.149111
6.0,364,2019.429082
14.0,525,2029.998057
15.0,714,2044.33704
13.0,371,2051.966518
11.0,575,2063.520472
6.0,358,2070.757779
10.0,484,2080.597002
18.0,743,2095.497964
13.0,333,2102.114942
9.0,527,2112.79782
25.0,503,2122.876663
10.0,487,2132.533089
17.0,646,2145.565335
17.0,668,2158.961026
26.0,771,2173.979899
8.0,500,2183.850397
14.0,497,2193.841328
6.0,339,2200.744588
14.0,496,2210.678571
23.0,622,2222.984674
14.0,651,2235.861694
17.0,686,2249.442487
21.0,688,2263.362969
6.0,379,2270.984247
25.0,733,2285.303827
18.0,707,2299.163039
11.0,509,2309.083318
16.0,681,2322.669647
12.0,575,2334.143395
9.0,496,2343.973489
23.0,843,2360.399843
11.0,541,2370.745488
27.0,852,2387.544677
34.0,901,2405.476527
19.0,822,2421.825988
13.0,652,2434.545619
34.0,798,2450.288197
39.0,1004,2470.104782
33.0,1018,2489.819794
27.0,884,2507.156462
26.0,778,2522.355116
8.0,429,2530.373455
13.0,675,2543.575849
30.0,852,2560.036198
45.0,1194,2583.547829
28.0,783,2598.4797
29.0,826,2614.713292
32.0,865,2631.386003
29.0,863,2647.882098
41.0,1044,2668.220224
33.0,1030,2688.33346
64.0,1489,2717.248112
19.0,754,2732.010279
57.0,1289,2757.06552
30.0,761,2771.939214
32.0,1007,2791.528218
22.0,556,2802.284632
24.0,664,2815.177114
67.0,1302,2840.54281
43.0,1058,2860.998461
46.0,1182,2883.855222
30.0,889,2901.055812
20.0,603,2912.538133
57.0,1223,2936.290162
39.0,1062,2956.78086
58.0,1393,2983.930324
36.0,980,3002.572554
47.0,901,3019.948486
29.0,1079,3040.837321
14.0,644,3053.333714
19.0,743,3067.491499
59.0,1395,3094.491714
45.0,963,3112.945008
29.0,734,3126.926227
45.0,1120,3148.452536
73.0,1277,3173.109075
62.0,1462,3201.473433
56.0,1252,3225.351057
41.0,1056,3245.800293
35.0,1064,3266.196995
30.0,938,3284.300504
81.0,1175,3307.161294
38.0,879,3323.71526
46.0,1120,3345.560567
34.0,1115,3366.778056
95.0,1255,3390.523659
37.0,1104,3411.765863
238.0,1923,3448.568259
57.0,1220,3472.28115
77.0,962,3490.481113
112.0,1597,3521.198562
221.0,1734,3554.408338
61.0,1169,3576.602086
65.0,1237,3600.566945
295.0,1454,3628.65084
45.0,940,3646.841249
118.0,1896,3683.167604
117.0,1145,3705.355019
39.0,1047,3725.192473
114.0,1876,3760.787563
68.0,1158,3783.129235
15.0,640,3795.371465
61.0,1321,3821.147093
57.0,1271,3845.479037
31.0,883,3862.45749
41.0,1110,3883.940337
96.0,1392,3910.657996
99.0,1596,3941.525229
108.0,1836,3976.890369
110.0,1706,4009.491588
94.0,1407,4036.723295
104.0,1331,4062.151736
107.0,1321,4087.331893
117.0,1511,4116.352649
82.0,1545,4146.022089
102.0,1646,4177.401718
38.0,945,4195.365088
87.0,1231,4219.067954
51.0,1261,4243.39354
136.0,1598,4273.822283
276.0,1626,4305.338324
79.0,1062,4325.870981
0.0,129,4328.648504
23.0,716,4342.664664
16.0,590,4354.048294
60.0,1273,4378.50138
167.0,1611,4409.37649
73.0,1188,4432.503197
56.0,1149,4454.555142
28.0,802,4470.302962
66.0,1061,4490.304682
77.0,1330,4515.761597
100.0,1623,4546.757436
80.0,1296,4571.733101
92.0,1514,4600.651791
329.0,1794,4634.93709
70.0,959,4653.121258
204.0,1300,4677.93455
157.0,1588,4708.124499
2.0,182,4711.949329
188.0,1697,4744.741449
118.0,1715,4777.434673
158.0,1646,4808.545423
75.0,1458,4836.080683
140.0,1184,4858.984953
257.0,1870,4894.50009
212.0,1721,4927.401166
317.0,1758,4960.753815
341.0,1693,4993.07139
122.0,1402,5019.683254
317.0,2336,5064.100864
160.0,1948,5101.118536
11.0,486,5111.189844
268.0,1700,5143.33788
280.0,1393,5169.87559
242.0,1886,5205.767619
75.0,1058,5226.170105
14.0,625,5238.46972
224.0,1904,5274.948788
289.0,2032,5313.965483
86.0,1209,5336.713827
368.0,2071,5376.204661
227.0,1807,5410.579938
353.0,2134,5451.206387
288.0,2081,5490.63155
335.0,1844,5525.710724
265.0,1449,5553.532571
387.0,2068,5592.775195
283.0,1952,5629.473972
340.0,1763,5662.762944
372.0,1828,5697.707889
389.0,1846,5732.747394
330.0,2232,5774.846221
73.0,1525,5803.97017
304.0,1887,5839.765594
307.0,1819,5874.092861
311.0,1859,5909.266067
404.0,2066,5948.624491
172.0,1674,5980.739848
244.0,1629,6011.38875
330.0,1569,6041.301884
130.0,1399,6067.362324
173.0,1445,6094.580033
154.0,1483,6122.404321
222.0,1887,6158.050893
349.0,2054,6197.240125
432.0,2794,6250.300775
385.0,2126,6290.396601
367.0,1963,6327.77914
116.0,1596,6357.889557
256.0,1543,6387.102457
401.0,2347,6431.662679
318.0,1844,6466.460386
337.0,2134,6507.022157
258.0,2093,6546.563697
232.0,1877,6582.567996
360.0,1578,6612.301116
394.0,2550,6660.216852
369.0,2048,6699.28415
413.0,2799,6752.210976
439.0,3050,6809.774194
407.0,2495,6856.596711
413.0,2343,6901.19261
307.0,1710,6933.824483
376.0,1620,6964.285761
406.0,2784,7016.867695
394.0,2106,7056.903451
413.0,4432,7140.690982
405.0,2479,7187.649116
404.0,2756,7239.748404
400.0,2535,7287.816551
139.0,1064,7307.853612
402.0,1733,7340.617052
370.0,2453,7386.962183
355.0,2096,7426.627014
115.0,1525,7455.556996
329.0,2036,7493.775079
418.0,2279,7536.797673
337.0,1606,7567.119846
144.0,1389,7593.450828
403.0,2311,7636.553727
406.0,2900,7691.493824
76.0,1483,7719.624861
424.0,2454,7765.601995
224.0,1679,7797.273549
408.0,2577,7846.310481
371.0,2127,7886.38932
388.0,2151,7927.19174
398.0,2405,7972.727939
433.0,2565,8021.372631
189.0,1811,8055.220044
425.0,2952,8110.99811
331.0,1910,8147.316288
414.0,2570,8195.795692
373.0,2228,8238.238028
420.0,2457,8284.74976
439.0,2886,8338.955256
404.0,3641,8408.011544
417.0,2492,8455.678567
420.0,2526,8503.533056
379.0,3076,8561.606123
414.0,2409,8607.299087
112.0,934,8624.794301
459.0,4357,8707.8935
320.0,1768,8741.492955
349.0,2037,8780.103323
418.0,2950,8835.350297
420.0,2548,8882.926413
425.0,2591,8932.355798
422.0,2386,8977.77849
407.0,2276,9020.966953
424.0,3335,9084.374171
415.0,1970,9121.317693
258.0,1833,9155.937355
427.0,2354,9200.477454
401.0,2450,9246.90596
156.0,1493,9274.943632
411.0,2566,9323.526067
288.0,2075,9362.540308
421.0,5154,9459.432399
31.0,580,9470.027176
300.0,1916,9506.811561
431.0,2674,9557.092296
357.0,2258,9599.663187
425.0,5799,9708.690201
471.0,3363,9772.106263
428.0,2021,9809.653648
428.0,2916,9864.577904
428.0,2965,9920.584678
381.0,2373,9965.396029
410.0,3280,10027.473283
430.0,2622,10076.833904
409.0,2883,10131.549956
381.0,2243,10173.537401
388.0,2043,10211.857642
433.0,6357,10331.524731
436.0,5007,10426.187459
432.0,3134,10485.317686
415.0,3260,10547.243774
118.0,1570,10576.888786
421.0,3058,10635.110131
442.0,3730,10705.634977
400.0,3159,10765.162996
434.0,2871,10819.633307
441.0,2919,10874.408113
428.0,2631,10924.687608
427.0,2682,10975.452725
420.0,3419,11040.37432
369.0,4034,11116.322964
435.0,2722,11168.031563
728.0,4568,11254.384556
428.0,2378,11299.975227
418.0,2480,11346.778248
413.0,3055,11404.718161
407.0,2700,11455.925003
419.0,2294,11499.991572
409.0,4592,11587.88242
404.0,4584,11674.764992
424.0,2914,11729.978585
366.0,2162,11770.23182
427.0,3552,11837.928565
374.0,2023,11876.259853
399.0,3283,11938.369254
410.0,9168,12111.475371
414.0,3465,12176.699415
372.0,2384,12221.888153
365.0,2212,12263.569919
431.0,2966,12319.795247
406.0,2317,12364.254859
414.0,3621,12432.614952
402.0,3318,12495.43595
397.0,2273,12537.985558
421.0,4657,12627.010762
434.0,2488,12674.056196
428.0,3368,12738.412856
412.0,2171,12779.349309
399.0,2687,12830.404606
368.0,2292,12874.127199
387.0,2143,12915.113292
406.0,2677,12966.207451
363.0,1875,13002.007822
530.0,3190,13062.484233
416.0,2290,13106.148705
418.0,3043,13163.451626
427.0,2924,13219.653463
398.0,1906,13255.328108
424.0,2514,13302.905201
406.0,2674,13353.190266
427.0,3076,13412.075599
412.0,3371,13475.842243
