#{"t_start": 1541001686.695055, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,4.962354
1.0,170,8.457935
0.0,127,11.179271
1.0,173,15.022198
0.0,129,17.787231
5.0,324,25.166614
3.0,231,30.562944
0.0,129,33.339638
1.0,173,37.155477
1.0,171,41.176439
2.0,222,46.002748
3.0,228,51.081196
5.0,352,59.183286
3.0,248,64.876725
0.0,129,67.708107
2.0,204,72.246884
0.0,127,75.242452
0.0,123,77.808093
5.0,346,85.62842
0.0,127,88.608819
0.0,125,91.2205
2.0,183,95.327756
2.0,224,100.469625
1.0,173,104.235161
5.0,350,112.650238
0.0,129,115.424817
1.0,175,119.17356
1.0,171,123.080345
0.0,129,126.037027
2.0,199,130.539315
0.0,125,133.109111
7.0,325,140.921301
3.0,272,147.14432
10.0,418,157.127551
2.0,205,161.8296
2.0,183,165.779444
5.0,352,174.142341
0.0,127,176.771063
1.0,171,180.373491
0.0,129,183.129227
1.0,155,186.838058
0.0,129,189.493146
3.0,250,195.008065
2.0,207,199.776786
0.0,129,202.466125
2.0,200,206.910614
2.0,205,211.571861
2.0,224,216.689814
0.0,129,219.450209
4.0,299,226.174041
2.0,200,230.725244
0.0,129,233.7105
1.0,157,237.205156
2.0,218,242.051499
0.0,127,244.90196
2.0,198,249.315477
0.0,127,252.143555
1.0,157,255.496513
2.0,203,260.237262
0.0,129,262.934014
2.0,200,267.421862
1.0,155,270.969624
0.0,127,273.540117
6.0,375,282.47915
0.0,127,285.136085
0.0,123,287.817424
3.0,272,294.104877
0.0,125,296.588982
0.0,125,299.228393
0.0,129,302.06977
1.0,153,305.705133
2.0,202,310.058641
0.0,129,312.766752
1.0,155,315.97648
0.0,127,318.777192
0.0,127,321.471582
2.0,200,325.846357
0.0,127,328.462263
2.0,202,333.211421
6.0,352,341.157366
0.0,129,343.769193
0.0,129,346.5268
0.0,129,349.319831
0.0,127,352.056678
0.0,129,354.767324
1.0,157,358.202041
4.0,319,365.707371
0.0,129,368.388276
0.0,127,371.08057
0.0,125,373.801443
0.0,127,376.335517
2.0,202,380.931376
0.0,129,383.565727
0.0,129,386.242612
6.0,377,394.753607
2.0,202,399.207983
2.0,202,403.823105
0.0,129,406.4606
2.0,218,411.112657
3.0,248,416.996751
