explained_variance,value_loss,fps,policy_entropy,grad_norm,P09:episode_rewards,advantage_norm,PMM:episode_rewards,episode_length,policy_loss,P01:episode_rewards,epoch_idx,frames
-1.0506198477745057,0.015487727278823513,720,1.3842081320285797,0.09376869472163522,3.0,1.3145036800578236,1.4871794871794872,186.64102564102564,0.002766533957264983,0.0,1,8000
0.06169851720333099,0.011608667425334715,689,1.3839892828464508,0.04007748626411296,3.0,1.088762159831822,1.2555555555555555,177.1888888888889,0.00197388271917589,0.0,2,16000
0.05282272160053253,0.012618260876406566,677,1.3841207075119017,0.038270248812259114,3.0,1.1429070170596243,1.09,171.73,0.0038871549265456907,0.0,3,24000
0.04152468085289002,0.01537304074050553,677,1.3831358706951142,0.0504953398394637,3.0,1.338785767108202,1.39,182.73,0.0023473560010825166,0.0,4,32000
0.07158231735229492,0.010481468270918413,673,1.384695954322815,0.03179107894753578,3.0,1.0346515456959606,1.39,182.53,-0.000240822957130149,0.0,5,40000
0.09604179680347442,0.012939509902334976,671,1.3847321367263794,0.03670622944250702,3.1000000000000085,1.1676232380419969,1.3,178.18,0.0023482729744864627,0.0,6,48000
0.07074077963829041,0.012598486928254715,669,1.3856258463859559,0.03877487612799299,3.0,1.1393173261731864,1.32,180.29,0.001337869752314873,0.0,7,56000
0.09161278307437896,0.012460597784775018,668,1.3855493021011354,0.034931400526240844,3.0,1.180809118449688,1.28,179.15,0.0006875681749079377,0.0,8,64000
0.10180642962455749,0.010443773112165218,666,1.3856798827648162,0.031406777804179234,3.0,0.9962633738666773,1.2,174.43,0.00046090207688394004,0.0,9,72000
0.15448211550712584,0.010821244582184591,664,1.3857616567611695,0.03365569159231239,3.0,1.0482372307777406,1.19,175.28,0.0003904924870585091,0.0,10,80000
0.1716993361711502,0.012006008735479554,664,1.3858717846870423,0.03926041184999597,3.0,1.122233959287405,1.17,172.15,0.0034015612199436874,0.0,11,88000
0.2288471442461014,0.010735627176472917,662,1.3856543815135955,0.03806407431551169,3.0,1.0699806606769562,1.31,177.35,-0.00010366752696427283,0.0,12,96000
0.29894730091094973,0.012172195284074405,661,1.38503213763237,0.04586695841103228,3.0,1.1252687887847423,1.31,177.56,0.001541636260226369,0.0,13,104000
0.2926641535758972,0.013803217723616399,662,1.3840897727012633,0.055822156120835166,3.0,1.2535580544173717,1.27,175.42,0.00134682966494438,0.0,14,112000
0.33698655784130094,0.013099115085351514,662,1.3844312036037445,0.054107065799824834,4.0,1.1895779179036616,1.43,182.21,0.0009329558868193999,0.0,15,120000
0.3787862420082092,0.009464013921533478,662,1.384816997051239,0.046789299190234376,3.0,1.0359319354593755,1.27,177.27,0.0011719369122874922,0.0,16,128000
0.5077549123764038,0.011708413301239489,662,1.3839973998069763,0.06118552386633123,3.0,1.191781300008297,1.15,173.44,0.0024657798430416733,0.0,17,136000
0.4878607076406479,0.01071940300957067,662,1.3834103405475617,0.06090750631480431,3.0,1.1394335867464542,1.19,175.61,-0.00010156568590900861,0.0,18,144000
0.4482414823770523,0.012551060898113064,662,1.383088343143463,0.07641206900703333,3.0,1.25378219217062,1.32,181.83,0.0013617473010890536,0.0,19,152000
0.5262550675868988,0.012042164637241512,662,1.3835244286060333,0.07843410440576062,3.0,1.2683928242325784,1.41,183.79,0.00159903671592474,0.0,20,160000
0.5139959639310837,0.010264724123117049,661,1.3827424263954162,0.07805149576053487,3.0,1.1558085635304451,1.28,177.92,0.0005925652277073823,0.0,21,168000
0.5285548442602157,0.010686680408834946,661,1.3834700334072112,0.08584701050752322,3.0,1.1687819761037828,1.17,175.09,0.0021219233493320645,0.0,22,176000
0.601176209449768,0.012940809327410534,661,1.383147839307785,0.10145723716499892,4.0,1.3197553953528405,1.19,175.95,0.0003870853316038847,0.0,23,184000
0.6177157872915268,0.012167135624913498,661,1.3840367007255554,0.1046259527614719,3.0,1.2818787589669227,1.19,172.37,0.0024739779951050878,0.0,24,192000
0.5979522699117661,0.012119203226757237,661,1.3828418266773224,0.10517011522540795,4.0,1.2649210113286973,1.37,179.95,-0.0019302807369967923,0.0,25,200000
0.7230457198619843,0.014482425203314052,662,1.3799690735340118,0.13036059107841447,4.0,1.400696386694908,1.52,188.67,0.0004424851833027788,0.0,26,208000
0.7815669512748719,0.011124412493081763,662,1.379008229970932,0.10228172971926616,4.0,1.2501145118474961,1.5,186.62,-0.00047207329305820167,0.0,27,216000
0.7811827343702317,0.01301316233468242,662,1.3803003895282746,0.10962688112199052,4.0,1.3478472009301186,1.58,190.71,0.0005050767236389219,0.0,28,224000
0.7599322235584259,0.008768049896461889,662,1.3813708961009978,0.080499862047591,4.1000000000000085,1.1092696312069892,1.62,191.09,-0.0004271813294326421,0.0,29,232000
0.7696127158403396,0.01217772341798991,662,1.378000763654709,0.10173524754181514,4.0,1.317800997197628,1.68,192.92,-0.00012940939486725256,0.0,30,240000
0.8187967509031295,0.009382986192940734,663,1.3722764575481414,0.08778109733761434,4.0,1.1593079525232315,1.59,189.54,-0.0007146970095345751,0.0,31,248000
0.8271772003173828,0.01137944645481184,663,1.3688637292385102,0.11220858405610423,4.0,1.292431544661522,1.52,187.3,-0.0003796888003125787,0.0,32,256000
0.8207829111814499,0.01132874822244048,664,1.3670409154891967,0.09872716705180609,5.0,1.2790366518497467,1.66,190.78,-0.0001585174771025777,0.0,33,264000
0.8447150760889053,0.010707092843949795,664,1.368671897649765,0.09445178833737061,6.0,1.22489694327116,1.96,200.25,-0.0011873237777035683,0.0,34,272000
