#{"t_start": 1541001687.0449626, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,220,6.593759
3.0,250,12.11539
1.0,173,16.059679
2.0,209,20.651036
0.0,129,23.46302
0.0,127,26.340693
0.0,127,29.048157
1.0,173,32.871667
1.0,169,36.62025
0.0,127,39.572324
2.0,201,43.93389
2.0,187,47.936978
8.0,370,56.438061
3.0,248,62.281643
1.0,153,65.511629
1.0,174,69.503124
4.0,296,76.509899
1.0,155,79.886018
0.0,129,82.456114
0.0,123,85.047172
1.0,155,88.742276
0.0,125,91.362907
1.0,175,95.231294
2.0,223,100.395634
1.0,177,104.205562
1.0,155,107.663762
1.0,155,111.365863
0.0,125,114.006023
0.0,129,116.708666
1.0,171,120.442151
1.0,173,124.558484
0.0,127,127.356591
1.0,155,130.658039
2.0,200,135.366527
0.0,125,138.014595
1.0,175,141.959086
0.0,127,144.631819
0.0,129,147.721825
2.0,185,151.717154
0.0,127,154.504593
0.0,125,157.287403
2.0,224,162.462369
0.0,129,165.10446
5.0,330,172.842077
2.0,198,177.14884
0.0,129,179.823133
0.0,127,182.508093
0.0,127,185.477066
1.0,176,189.356298
1.0,155,192.655984
1.0,157,196.27166
0.0,127,198.854483
2.0,218,203.7065
2.0,198,208.245085
2.0,208,212.954332
1.0,169,216.679294
3.0,250,222.381218
2.0,184,226.317394
0.0,129,229.118217
4.0,296,236.052179
1.0,153,239.418467
1.0,174,243.169917
1.0,171,247.146713
1.0,153,250.673706
0.0,125,253.236175
4.0,299,260.296167
0.0,125,262.895369
1.0,172,266.691183
2.0,200,271.324153
0.0,127,273.915253
0.0,127,276.609583
0.0,127,279.2686
5.0,329,287.10937
2.0,200,291.566269
3.0,255,297.343338
0.0,127,300.018647
0.0,129,302.818062
5.0,328,310.51438
0.0,127,313.171605
3.0,250,318.779704
0.0,127,321.489803
5.0,326,329.004945
1.0,171,332.75384
1.0,173,336.399503
0.0,129,339.061178
2.0,222,344.023022
0.0,125,346.699956
0.0,127,349.385267
2.0,222,354.374616
0.0,125,356.978936
3.0,232,362.300439
0.0,127,365.168591
1.0,173,368.906916
2.0,202,373.495359
2.0,202,377.951594
0.0,129,380.662138
0.0,129,383.297928
0.0,125,385.851757
4.0,300,392.641943
8.0,374,401.197711
2.0,202,405.610518
4.0,278,411.712682
0.0,127,414.731455
0.0,129,417.508937
0.0,129,420.268305
0.0,127,422.95462
3.0,246,428.591389
0.0,127,431.434046
0.0,125,434.209501
0.0,125,437.12669
9.0,427,446.471056
4.0,298,453.164659
0.0,129,455.803902
0.0,127,458.505325
0.0,129,461.340677
4.0,294,468.019692
3.0,271,474.126097
1.0,176,477.943713
0.0,125,480.518289
0.0,129,483.244883
0.0,129,486.081553
1.0,157,489.467391
0.0,129,492.160103
3.0,248,497.586923
1.0,176,501.402341
6.0,400,510.292192
2.0,202,514.757983
2.0,202,519.312943
0.0,125,521.840858
0.0,129,524.47237
0.0,125,527.100196
10.0,435,537.162214
3.0,248,542.927927
0.0,125,545.58945
0.0,129,548.221984
0.0,125,550.715478
3.0,248,556.413351
3.0,270,562.280272
0.0,123,564.814182
0.0,129,567.770017
2.0,198,571.89865
3.0,228,576.726412
0.0,125,579.57561
4.0,280,585.57579
0.0,127,588.181928
0.0,129,591.08765
3.0,248,596.609734
0.0,129,599.286178
0.0,127,602.164156
10.0,433,611.730606
0.0,129,614.623196
5.0,350,622.564299
0.0,129,625.450973
0.0,129,628.038123
8.0,370,636.269899
0.0,129,639.095656
0.0,125,641.55434
4.0,297,648.248286
0.0,127,651.012156
1.0,157,654.302897
0.0,129,657.012984
9.0,404,666.01336
0.0,129,668.659855
0.0,129,671.500383
2.0,202,676.144731
2.0,202,680.601114
2.0,202,684.973099
0.0,125,687.447872
0.0,127,690.118226
2.0,202,694.431368
0.0,127,697.25934
5.0,329,704.571414
9.0,404,713.609105
5.0,350,721.323568
0.0,125,723.901819
1.0,154,727.050745
4.0,299,733.796309
5.0,329,740.893359
0.0,127,743.690943
3.0,248,749.04962
6.0,397,757.848015
0.0,129,760.433217
0.0,127,763.062629
4.0,297,769.65151
3.0,248,775.125122
4.0,321,782.505417
2.0,200,786.759875
0.0,129,789.640058
9.0,404,798.330675
0.0,127,801.274315
9.0,380,810.017786
2.0,202,814.848172
0.0,129,817.522993
6.0,398,826.635351
