#{"t_start": 1541001686.9891968, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
5.0,350,9.753105
2.0,223,14.798924
0.0,125,17.409486
0.0,127,20.08174
1.0,175,23.964545
1.0,153,27.419913
0.0,127,30.189239
1.0,176,34.085132
1.0,157,37.537124
1.0,155,41.146285
1.0,157,44.449884
2.0,199,48.730308
0.0,127,51.495359
0.0,125,54.086997
0.0,129,56.880428
0.0,125,59.623269
8.0,314,66.954733
1.0,157,70.381473
3.0,251,76.295515
0.0,127,78.996472
4.0,284,85.332777
0.0,123,88.179238
2.0,222,93.145443
1.0,173,96.866297
0.0,127,99.867595
0.0,127,102.534079
0.0,127,105.264453
1.0,173,109.095875
0.0,127,112.054639
2.0,190,116.240814
2.0,201,120.745343
0.0,127,123.726678
0.0,123,126.37183
0.0,125,129.163104
0.0,127,131.698909
1.0,175,135.845927
0.0,129,138.651481
0.0,129,141.426081
0.0,127,144.069211
1.0,169,148.102479
0.0,127,150.782573
1.0,171,154.608615
3.0,271,160.933378
1.0,155,164.364015
3.0,252,169.862094
2.0,190,174.427392
1.0,157,177.652612
0.0,127,180.309139
3.0,248,186.249799
1.0,157,189.566971
0.0,129,192.21583
0.0,129,194.921935
0.0,129,197.829364
0.0,129,200.56472
5.0,352,208.748532
1.0,156,212.200449
1.0,173,216.042831
4.0,288,222.657488
2.0,202,227.081313
2.0,202,231.582046
2.0,200,236.271606
0.0,125,238.91718
0.0,127,241.622812
0.0,127,244.515622
2.0,203,249.058343
1.0,173,252.895027
1.0,173,256.884083
0.0,127,259.595916
2.0,205,264.20724
3.0,250,270.014509
1.0,175,273.742228
1.0,155,277.086586
0.0,129,279.847342
0.0,127,282.86101
1.0,173,286.646369
4.0,300,293.637828
5.0,351,301.605119
0.0,127,304.318722
3.0,276,310.720659
0.0,127,313.370537
2.0,202,317.88778
2.0,202,322.367257
0.0,125,324.918423
3.0,270,331.152612
2.0,198,335.396374
0.0,127,338.112551
3.0,234,343.209265
0.0,127,345.951798
0.0,129,348.792161
2.0,220,353.760093
0.0,129,356.373026
0.0,127,359.18686
5.0,331,366.882873
0.0,127,369.603679
8.0,374,378.270921
0.0,127,380.918491
0.0,125,383.459797
9.0,404,392.595259
6.0,379,401.312639
0.0,127,403.960283
3.0,246,409.229378
0.0,125,412.192044
0.0,125,414.908498
0.0,123,417.487865
2.0,198,421.862838
0.0,129,424.833669
0.0,129,427.49719
3.0,248,433.293057
2.0,202,438.055631
2.0,187,442.01414
9.0,380,450.48986
3.0,219,455.191267
3.0,268,461.278779
5.0,350,469.340382
2.0,208,473.954677
0.0,127,476.607957
12.0,425,486.43735
0.0,127,489.112457
4.0,319,496.354868
2.0,202,500.515147
1.0,155,503.750934
0.0,129,506.328664
8.0,480,517.362842
0.0,127,520.166642
0.0,127,522.796694
0.0,129,525.426471
0.0,125,528.028708
4.0,297,534.881336
0.0,123,537.448358
6.0,397,546.744557
9.0,402,555.832307
3.0,248,561.193216
1.0,171,564.912424
0.0,129,567.871493
3.0,248,573.147071
0.0,125,575.575909
0.0,125,578.411508
0.0,127,580.999395
2.0,202,585.198707
4.0,294,591.944587
0.0,129,594.706111
5.0,350,602.759084
0.0,129,605.503317
2.0,202,609.706012
9.0,404,618.914557
0.0,125,621.554466
0.0,129,624.32437
1.0,173,628.154412
0.0,127,630.883662
5.0,350,638.708552
0.0,127,641.195008
0.0,129,643.97105
0.0,125,646.630905
6.0,378,655.066261
7.0,432,664.80717
0.0,127,667.36564
0.0,125,670.060388
1.0,155,673.72346
0.0,125,676.31276
5.0,352,684.269116
2.0,202,688.508557
3.0,248,693.937011
5.0,350,701.95441
0.0,127,704.516879
0.0,129,707.134927
0.0,129,710.003822
5.0,350,717.529059
0.0,129,720.254149
0.0,127,722.867705
3.0,248,728.318072
4.0,297,734.886868
2.0,204,739.081496
3.0,254,744.82908
6.0,378,753.171308
9.0,404,762.133061
5.0,350,769.987901
5.0,348,778.1279
2.0,202,782.355455
0.0,125,784.830469
2.0,200,789.411628
1.0,175,792.964476
0.0,127,795.537599
0.0,125,798.001688
5.0,331,805.80931
2.0,224,810.770162
0.0,127,813.805998
0.0,127,816.576497
4.0,282,822.747902
6.0,375,831.146506
4.0,299,837.921378
0.0,129,840.641996
2.0,226,845.583389
2.0,202,850.063183
0.0,127,852.663023
1.0,155,855.890922
0.0,129,858.589236
1.0,156,862.130923
6.0,380,870.264343
2.0,202,874.627879
0.0,127,877.221915
0.0,129,879.787739
5.0,350,887.74564
2.0,202,892.097238
1.0,175,895.979296
0.0,129,898.720268
0.0,127,901.333514
0.0,129,903.905791
0.0,129,906.648519
1.0,158,909.972975
2.0,200,914.308207
0.0,127,916.823559
0.0,129,919.645982
0.0,129,922.318256
0.0,129,924.889748
0.0,125,927.366123
0.0,129,930.234706
0.0,129,932.96819
4.0,297,939.696155
1.0,176,943.618054
3.0,250,948.936338
0.0,129,951.607744
6.0,378,960.032244
2.0,200,964.520885
0.0,127,967.040448
0.0,125,969.675214
5.0,349,977.423772
1.0,158,980.746741
0.0,127,983.355179
1.0,152,986.587906
0.0,127,989.286646
6.0,399,998.261563
2.0,224,1003.221989
0.0,129,1005.935789
0.0,125,1008.585126
3.0,248,1014.071607
0.0,127,1016.660573
1.0,176,1020.356392
2.0,203,1024.816056
5.0,371,1033.06935
0.0,125,1035.867717
1.0,157,1039.082287
5.0,352,1046.787388
1.0,175,1050.30009
5.0,352,1058.04428
2.0,202,1062.403628
0.0,129,1065.011646
3.0,248,1070.508834
0.0,125,1073.07532
7.0,393,1081.821053
2.0,202,1086.152717
0.0,129,1088.808023
1.0,155,1092.363579
4.0,279,1098.284538
2.0,185,1102.104465
3.0,271,1108.140685
0.0,125,1110.675773
1.0,154,1113.891696
4.0,259,1119.646787
0.0,127,1122.336349
0.0,127,1124.990866
1.0,153,1128.398452
4.0,264,1134.161083
5.0,372,1142.399724
10.0,432,1152.255821
0.0,129,1154.850158
0.0,127,1157.450215
4.0,319,1164.470368
10.0,452,1174.675917
9.0,404,1183.476982
5.0,309,1190.245777
1.0,155,1193.4378
2.0,183,1197.546532
1.0,174,1201.164953
1.0,173,1204.708364
1.0,155,1208.209348
0.0,129,1210.848189
4.0,262,1216.410589
0.0,127,1219.037655
3.0,271,1225.219635
0.0,127,1227.847786
1.0,157,1231.3389
2.0,222,1236.058603
13.0,457,1246.272646
0.0,127,1248.719432
0.0,129,1251.328907
5.0,350,1258.952471
0.0,127,1261.560676
2.0,183,1265.471731
0.0,129,1268.012511
7.0,248,1273.404577
2.0,198,1277.707644
0.0,129,1280.329397
1.0,157,1283.649733
9.0,404,1292.74393
2.0,186,1296.783792
11.0,487,1307.783123
11.0,504,1318.974091
7.0,450,1329.110602
3.0,252,1334.644058
5.0,350,1342.531462
2.0,187,1346.774858
0.0,127,1349.350859
0.0,127,1351.971856
0.0,129,1354.564458
6.0,340,1362.071842
1.0,155,1365.305874
3.0,230,1370.601964
0.0,127,1373.054344
5.0,307,1379.488142
0.0,129,1382.336775
0.0,129,1384.973767
3.0,268,1390.672134
6.0,384,1399.175028
10.0,434,1408.778706
9.0,404,1417.564613
2.0,201,1421.668289
6.0,396,1430.326602
2.0,184,1434.278239
10.0,441,1444.151944
13.0,552,1456.277802
0.0,129,1458.923615
1.0,155,1462.359749
1.0,155,1465.58383
5.0,350,1473.242441
0.0,129,1475.898437
10.0,450,1485.819618
1.0,178,1489.45759
5.0,315,1496.265479
0.0,129,1498.843842
4.0,264,1504.325337
1.0,155,1507.681687
2.0,185,1511.400398
1.0,175,1515.212355
3.0,252,1520.824394
10.0,466,1531.308283
9.0,404,1539.889712
5.0,350,1547.407408
6.0,399,1556.12481
2.0,203,1560.269599
6.0,378,1568.450595
1.0,157,1571.567959
3.0,212,1575.968395
3.0,213,1580.504203
5.0,312,1587.038877
6.0,376,1594.909389
0.0,129,1597.643994
7.0,420,1606.574106
1.0,155,1609.771607
5.0,331,1616.446755
4.0,299,1622.517482
6.0,379,1630.473545
3.0,250,1635.57213
4.0,262,1640.968847
4.0,280,1646.672361
9.0,473,1656.818608
3.0,235,1661.923809
2.0,225,1666.454806
15.0,398,1674.884278
5.0,363,1682.427326
7.0,250,1687.69779
1.0,155,1690.808588
6.0,379,1698.474601
8.0,418,1707.245165
2.0,225,1711.755751
4.0,282,1717.541717
6.0,384,1725.342102
9.0,329,1732.250738
3.0,252,1737.330365
12.0,409,1745.832327
11.0,514,1756.602302
3.0,216,1761.110415
9.0,402,1769.316995
5.0,352,1776.625794
13.0,524,1787.961053
11.0,371,1795.736175
2.0,203,1799.699184
2.0,226,1804.298084
9.0,479,1814.375499
3.0,231,1818.892948
7.0,355,1826.440078
5.0,326,1833.047023
7.0,432,1841.912927
8.0,296,1847.964134
18.0,593,1860.068683
6.0,366,1867.586446
5.0,276,1872.956283
8.0,436,1881.968765
8.0,455,1891.326223
15.0,611,1903.878718
4.0,248,1909.152863
10.0,376,1916.559711
